Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,dia,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
77,2022-03-22,5,0.2543387199581924,0.2091481604242625,0.3717542748575047,-0.118036522380803,-0.2,-0.0217314695172089,1.2688117854307777,1.044428434197887,1.5,0.413411862473963,0.3703981968444778,0.4603174603174603,0.4476280235454021,0.3591348890153671,0.7789658906334597,-0.413411862473963,-0.4603174603174603,-0.3703981968444778,0.2321267635752422,0.1679894179894179,0.3690652818991098,0.052759124618933,0.0337009803921568,0.0965404817967759,1,0.17205583269596686,-0.0074009160607434975,-0.021772291823216338,0.013986368608072647,0.016921486735486935,0.002849897982716239
78,2022-03-27,5,0.1218174790330882,-0.0357698289269051,0.260545905707196,-0.4261108649370167,-0.6805755395683454,-0.0695332171218283,2.5767180016765003,1.149458784346378,5.261261261261262,0.2806490346817527,0.1206225680933852,0.3956989247311828,0.3444737242751964,-0.1212121212121212,4.7368421052631575,-0.2806490346817527,-0.3956989247311828,-0.1206225680933852,0.0912914211987922,-0.113821138211382,0.4533213644524236,-0.0148327826863669,-0.1398601398601398,0.1303511303511303,6,0.1752482112939025,0.013930211885717345,0.0024230617059432316,0.025837793409905056,0.02737579507719548,0.016668112030921677
79,2022-04-06,5,0.1591350014430256,0.1137884872824631,0.2200113700966458,-0.2219357325671984,-0.3225492106801793,-0.1319952774498229,1.5732225398770434,1.3041349292709468,1.9522439585730724,0.1641462890064461,0.0910307898259705,0.2533733133433283,inf,-1555.0,inf,-0.1641462890064461,-0.2533733133433283,-0.0910307898259705,0.1867316350125101,0.1296167247386759,0.3640069889341875,0.0534663943484734,0.0132643157554189,0.1022222222222222,16,0.1816329684897738,0.055134200675334054,0.048748616625511595,0.052157015626305876,0.05167301599931404,0.046363096868511464
80,2022-04-11,5,0.2039006383130951,0.1477777777777777,0.2728066346573549,-0.2957613755206837,-0.3789233007690709,-0.1821459227467811,1.845685796119476,1.445424013434089,2.220214190093708,0.2794885133163666,0.2214960058097313,0.3587786259541984,0.6298125674332544,0.3273040482342808,1.0477941176470589,-0.2794885133163666,-0.3587786259541984,-0.2214960058097313,0.2288166123535766,0.0874524714828897,0.4519044544867656,0.0596642448725449,0.022530329289428,0.1234668847097301,21,0.18482534708770948,0.07500706151848992,0.07089000982574747,0.06643786189640372,0.06527383042202724,0.06207025425634907
81,2022-04-16,5,0.221133029221586,0.1596516690856313,0.2967359050445103,-0.273393298491643,-0.3727428245580688,-0.1510825600761361,1.7599328535746104,1.3559417040358743,2.1884848484848485,0.2861846539660732,0.2328663385081408,0.3571428571428571,0.8610511959258632,0.4026354319180087,1.5430861723446894,-0.2861846539660732,-0.3571428571428571,-0.2328663385081408,0.2996361922051772,0.1674641148325359,0.4747991234477722,0.0761218860847443,0.0207496653279785,0.136241610738255,26,0.18801772568564512,0.0943938333272108,0.09235794139283587,0.08134602704196146,0.07968862609553803,0.07824201710373159
82,2022-05-01,5,0.3060582345563595,0.2013949433304272,0.4504373177842565,-0.1964871218086477,-0.3397769516728624,-0.0441988950276243,1.4981788774768745,1.092485549132948,2.029279279279279,0.3049331840722694,0.2204042348411934,0.3985148514851485,1.6476994014589743,-111.07142857142858,11.629464285714286,-0.3049331840722694,-0.3985148514851485,-0.2204042348411934,0.4547795267040036,0.265947888589398,0.8029978586723769,0.1401482404779091,0.0776614310645724,0.2278864701019564,41,0.1975948614794521,0.14963761454676347,0.15277692534435153,0.12898001155819802,0.12673553739665694,0.12877836219299682
83,2022-05-11,5,0.3334223285870771,0.1277693474962064,0.5352112676056338,-0.1335984759721495,-0.2733588051406738,0.105383131685078,1.319599370089399,0.8093274111675127,1.7523900573613769,0.338946882821164,0.1454912129069432,0.4595701125895599,1.6685733275748025,-294.44444444444446,474.1666666666666,-0.338946882821164,-0.4595701125895599,-0.1454912129069432,0.5451956684518688,0.1724489795918367,0.982991202346041,0.1660386679819136,0.0602197802197802,0.2860798362333674,51,0.2039796186753234,0.18403635685429032,0.18979153140303942,0.16235301136580352,0.16026092567804007,0.16343327122582968
85,2022-05-21,5,0.3860674058719301,0.2680851063829787,0.533203125,-0.1052283811385594,-0.2315847194297203,0.0256743581410464,1.240708696479214,0.949936628643853,1.6027592768791628,0.3763079959888036,0.2954279015240328,0.4719101123595505,1.603654404460681,0.8928033724781692,2.545269064014282,-0.3763079959888036,-0.4719101123595505,-0.2954279015240328,0.6458941198757358,0.3860898138006572,1.0559626915389742,0.1963932246400116,0.1204238921001926,0.2778952313836035,61,0.21036437587119472,0.21649074302407717,0.2242465926470624,0.19631587685653357,0.19465089532693952,0.1982358436339543
87,2022-06-05,5,0.4424669188723,0.2826873385012919,0.5873198847262248,-0.0842388035825954,-0.2183908045977011,0.0858034321372854,1.1882291577035096,0.8419540229885057,1.5588235294117647,0.4301474883453836,0.3437688139674895,0.5196280991735537,1.4776406267125035,0.8112138383537131,2.386865342163355,-0.4301474883453836,-0.5196280991735537,-0.3437688139674895,0.8014565456317015,0.3885350318471336,1.3788098693759072,0.2268692021019915,0.1064737965378231,0.3331720300024196,76,0.2199415116650017,0.26152665452049506,0.2712279663215868,0.24716380638502727,0.2464123850105626,0.24965926150176257
88,2022-06-10,5,0.5108210647930739,0.3325077399380804,0.6948383437322745,-0.0331566139283261,-0.2104487044449125,0.1456500488758553,1.074242529858075,0.7457337883959044,1.533084311632871,0.4721333528473407,0.3588732394366197,0.588937093275488,1.4748154218767378,0.7930542957107685,2.186287192755498,-0.4721333528473407,-0.588937093275488,-0.3588732394366197,0.95830663148738,0.4092427616926504,1.4181977252843394,0.2709910368423772,0.1228327228327228,0.3610955841252096,81,0.22313389026293734,0.27556644695043103,0.28565714964834643,0.2638340129406252,0.2634144078815208,0.2663707040127873
