variable,parcela_id,r2,mse,rmse,aic,mae
evapotranspiration,1,0.7195460801303379,0.6288612169277286,0.7930077029435014,3465.6046150649727,0.5736335907058072
evapotranspiration,10,0.7273409280073293,0.5183044028068562,0.7199336099994611,3183.1242188886526,0.5190423969382602
evapotranspiration,11,0.7273409280073293,0.5183044028068562,0.7199336099994611,3183.1242188886526,0.5190423969382602
evapotranspiration,13,0.7195460801303379,0.6288612169277286,0.7930077029435014,3465.6046150649727,0.5736335907058072
evapotranspiration,14,0.7133576626880617,0.6246070717979442,0.7903208663561555,3455.584530653643,0.5725984520692603
evapotranspiration,15,0.6680672411093866,0.7784815589948234,0.8823160199128334,3778.0942116680803,0.6441939258980828
evapotranspiration,16,0.7195460801303379,0.6288612169277286,0.7930077029435014,3465.6046150649727,0.5736335907058072
evapotranspiration,2,0.6680672411093866,0.7784815589948234,0.8823160199128334,3778.0942116680803,0.6441939258980828
evapotranspiration,3,0.7133576626880617,0.6246070717979442,0.7903208663561555,3455.584530653643,0.5725984520692603
evapotranspiration,4,0.7195460801303379,0.6288612169277286,0.7930077029435014,3465.6046150649727,0.5736335907058072
evapotranspiration,5,0.7273409280073293,0.5183044028068562,0.7199336099994611,3183.1242188886526,0.5190423969382602
evapotranspiration,6,0.7273409280073293,0.5183044028068562,0.7199336099994611,3183.1242188886526,0.5190423969382602
evapotranspiration,7,0.7273409280073293,0.5183044028068562,0.7199336099994611,3183.1242188886526,0.5190423969382602
evapotranspiration,8,0.7273409280073293,0.5183044028068562,0.7199336099994611,3183.1242188886526,0.5190423969382602
evapotranspiration,9,0.7273409280073293,0.5183044028068562,0.7199336099994611,3183.1242188886526,0.5190423969382602
relative_humidity,1,0.24386020227485028,86.11200725560754,9.279655556948628,10600.82952655465,6.548287492336868
relative_humidity,10,0.22833148323401198,81.27330259192784,9.015170691225311,10511.91239385843,6.353976890500172
relative_humidity,11,0.22833148323401198,81.27330259192784,9.015170691225311,10511.91239385843,6.353976890500172
relative_humidity,13,0.24386020227485028,86.11200725560754,9.279655556948628,10600.82952655465,6.548287492336868
relative_humidity,14,0.24386020227485028,86.11200725560754,9.279655556948628,10600.82952655465,6.548287492336868
relative_humidity,15,0.24386020227485028,86.11200725560754,9.279655556948628,10600.82952655465,6.548287492336868
relative_humidity,16,0.24386020227485028,86.11200725560754,9.279655556948628,10600.82952655465,6.548287492336868
relative_humidity,2,0.24386020227485028,86.11200725560754,9.279655556948628,10600.82952655465,6.548287492336868
relative_humidity,3,0.21932441903685163,87.4568730451451,9.35183795011147,10619.304931525297,6.592055404469659
relative_humidity,4,0.24386020227485028,86.11200725560754,9.279655556948628,10600.82952655465,6.548287492336868
relative_humidity,5,0.22833148323401198,81.27330259192784,9.015170691225311,10511.91239385843,6.353976890500172
relative_humidity,6,0.22833148323401198,81.27330259192784,9.015170691225311,10511.91239385843,6.353976890500172
relative_humidity,7,0.22833148323401198,81.27330259192784,9.015170691225311,10511.91239385843,6.353976890500172
relative_humidity,8,0.22833148323401198,81.27330259192784,9.015170691225311,10511.91239385843,6.353976890500172
relative_humidity,9,0.22833148323401198,81.27330259192784,9.015170691225311,10511.91239385843,6.353976890500172
solar_radiation,1,0.5419087098590318,14618270139798.2,3823384.644499975,48398.524949791805,2651528.890415124
solar_radiation,10,0.5460107537634273,14346871725563.498,3787726.4586508223,48370.917669630115,2626738.22031228
solar_radiation,11,0.5460107537634273,14346871725563.498,3787726.4586508223,48370.917669630115,2626738.22031228
solar_radiation,13,0.5419087098590318,14618270139798.2,3823384.644499975,48398.524949791805,2651528.890415124
solar_radiation,14,0.5419087098590318,14618270139798.2,3823384.644499975,48398.524949791805,2651528.890415124
solar_radiation,15,0.5419087098590318,14618270139798.2,3823384.644499975,48398.524949791805,2651528.890415124
solar_radiation,16,0.5419087098590318,14618270139798.2,3823384.644499975,48398.524949791805,2651528.890415124
solar_radiation,2,0.5419087098590318,14618270139798.2,3823384.644499975,48398.524949791805,2651528.890415124
solar_radiation,3,0.5328074854197502,14556848344687.393,3815343.8042576704,48392.09211414201,2645817.5555294463
solar_radiation,4,0.5419087098590318,14618270139798.2,3823384.644499975,48398.524949791805,2651528.890415124
solar_radiation,5,0.5460107537634273,14346871725563.498,3787726.4586508223,48370.917669630115,2626738.22031228
solar_radiation,6,0.5460107537634273,14346871725563.498,3787726.4586508223,48370.917669630115,2626738.22031228
solar_radiation,7,0.5460107537634273,14346871725563.498,3787726.4586508223,48370.917669630115,2626738.22031228
solar_radiation,8,0.5460107537634273,14346871725563.498,3787726.4586508223,48370.917669630115,2626738.22031228
solar_radiation,9,0.5460107537634273,14346871725563.498,3787726.4586508223,48370.917669630115,2626738.22031228
temperature,1,-2.032569192538569,62.75724808710448,7.921947240868528,6180.0232383386265,1.5582027845613446
temperature,10,-1.996611613229815,62.56155813398744,7.909586470479189,6116.874673125613,1.5291523876029123
temperature,11,-1.996611613229815,62.56155813398744,7.909586470479189,6116.874673125613,1.5291523876029123
temperature,13,-2.032569192538569,62.75724808710448,7.921947240868528,6180.0232383386265,1.5582027845613446
temperature,14,-2.032569192538569,62.75724808710448,7.921947240868528,6180.0232383386265,1.5582027845613446
temperature,15,-2.032569192538569,62.75724808710448,7.921947240868528,6180.0232383386265,1.5582027845613446
temperature,16,-2.032569192538569,62.75724808710448,7.921947240868528,6180.0232383386265,1.5582027845613446
temperature,2,-2.032569192538569,62.75724808710448,7.921947240868528,6180.0232383386265,1.5582027845613446
temperature,3,-2.1430394244684,62.377873209045454,7.897966397057249,6076.323007486824,1.5106743993935796
temperature,4,-2.032569192538569,62.75724808710448,7.921947240868528,6180.0232383386265,1.5582027845613446
temperature,5,-1.996611613229815,62.56155813398744,7.909586470479189,6116.874673125613,1.5291523876029123
temperature,6,-1.996611613229815,62.56155813398744,7.909586470479189,6116.874673125613,1.5291523876029123
temperature,7,-1.996611613229815,62.56155813398744,7.909586470479189,6116.874673125613,1.5291523876029123
temperature,8,-1.996611613229815,62.56155813398744,7.909586470479189,6116.874673125613,1.5291523876029123
temperature,9,-1.996611613229815,62.56155813398744,7.909586470479189,6116.874673125613,1.5291523876029123
