variable,parcela_id,r2,mse,rmse,aic
evapotranspiration,1,0.8005887887845375,0.4471393268893059,0.6686847739326102,-437.9370429580979
evapotranspiration,10,0.8043999692601279,0.37182095714151514,0.6097712334486722,-707.4298871606074
evapotranspiration,11,0.8043999692601279,0.37182095714151514,0.6097712334486722,-707.4298871606074
evapotranspiration,13,0.8005887887845375,0.4471393268893059,0.6686847739326102,-437.9370429580979
evapotranspiration,14,0.796904701228085,0.44255416367124045,0.6652474454451068,-452.996123060429
evapotranspiration,15,0.7674424191029424,0.5454170559660472,0.7385235649361821,-147.66482806214992
evapotranspiration,16,0.8005887887845375,0.4471393268893059,0.6686847739326102,-437.9370429580979
evapotranspiration,2,0.7674424191029424,0.5454170559660472,0.7385235649361821,-147.66482806214992
evapotranspiration,3,0.796904701228085,0.44255416367124045,0.6652474454451068,-452.996123060429
evapotranspiration,4,0.8005887887845375,0.4471393268893059,0.6686847739326102,-437.9370429580979
evapotranspiration,5,0.8043999692601279,0.37182095714151514,0.6097712334486722,-707.4298871606074
evapotranspiration,6,0.8043999692601279,0.37182095714151514,0.6097712334486722,-707.4298871606074
evapotranspiration,7,0.8043999692601279,0.37182095714151514,0.6097712334486722,-707.4298871606074
evapotranspiration,8,0.8043999692601279,0.37182095714151514,0.6097712334486722,-707.4298871606074
evapotranspiration,9,0.8043999692601279,0.37182095714151514,0.6097712334486722,-707.4298871606074
relative_humidity,1,0.4851976071928582,58.62760764343015,7.6568666988155245,6686.031536226024
relative_humidity,10,0.47583112555948404,55.20626359127881,7.4300917619689475,6598.1826462629415
relative_humidity,11,0.47583112555948404,55.20626359127881,7.4300917619689475,6598.1826462629415
relative_humidity,13,0.4851976071928582,58.62760764343015,7.6568666988155245,6686.031536226024
relative_humidity,14,0.4851976071928582,58.62760764343015,7.6568666988155245,6686.031536226024
relative_humidity,15,0.4851976071928582,58.62760764343015,7.6568666988155245,6686.031536226024
relative_humidity,16,0.4851976071928582,58.62760764343015,7.6568666988155245,6686.031536226024
relative_humidity,2,0.4851976071928582,58.62760764343015,7.6568666988155245,6686.031536226024
relative_humidity,3,0.4700951443366006,59.363739327652304,7.704786780155068,6704.261726362326
relative_humidity,4,0.4851976071928582,58.62760764343015,7.6568666988155245,6686.031536226024
relative_humidity,5,0.47583112555948404,55.20626359127881,7.4300917619689475,6598.1826462629415
relative_humidity,6,0.47583112555948404,55.20626359127881,7.4300917619689475,6598.1826462629415
relative_humidity,7,0.47583112555948404,55.20626359127881,7.4300917619689475,6598.1826462629415
relative_humidity,8,0.47583112555948404,55.20626359127881,7.4300917619689475,6598.1826462629415
relative_humidity,9,0.47583112555948404,55.20626359127881,7.4300917619689475,6598.1826462629415
solar_radiation,1,0.6363948413053004,11603098658321.234,3406332.1415154506,44688.23051727037
solar_radiation,10,0.6397153853046564,11385637863841.9,3374261.0841252194,44660.58918106215
solar_radiation,11,0.6397153853046564,11385637863841.9,3374261.0841252194,44660.58918106215
solar_radiation,13,0.6363948413053004,11603098658321.234,3406332.1415154506,44688.23051727037
solar_radiation,14,0.6363948413053004,11603098658321.234,3406332.1415154506,44688.23051727037
solar_radiation,15,0.6363948413053004,11603098658321.234,3406332.1415154506,44688.23051727037
solar_radiation,16,0.6363948413053004,11603098658321.234,3406332.1415154506,44688.23051727037
solar_radiation,2,0.6363948413053004,11603098658321.234,3406332.1415154506,44688.23051727037
solar_radiation,3,0.6292402047386445,11552184471054.574,3398850.4631793634,44681.805569057826
solar_radiation,4,0.6363948413053004,11603098658321.234,3406332.1415154506,44688.23051727037
solar_radiation,5,0.6397153853046564,11385637863841.9,3374261.0841252194,44660.58918106215
solar_radiation,6,0.6397153853046564,11385637863841.9,3374261.0841252194,44660.58918106215
solar_radiation,7,0.6397153853046564,11385637863841.9,3374261.0841252194,44660.58918106215
solar_radiation,8,0.6397153853046564,11385637863841.9,3374261.0841252194,44660.58918106215
solar_radiation,9,0.6397153853046564,11385637863841.9,3374261.0841252194,44660.58918106215
temperature,1,0.8472309549635096,3.161466153179332,1.778051223440802,2419.663438974577
temperature,10,0.8549891652794268,3.0274539838184333,1.7399580408212243,2356.381837515076
temperature,11,0.8549891652794268,3.0274539838184333,1.7399580408212243,2356.381837515076
temperature,13,0.8472309549635096,3.161466153179332,1.778051223440802,2419.663438974577
temperature,14,0.8472309549635096,3.161466153179332,1.778051223440802,2419.663438974577
temperature,15,0.8472309549635096,3.161466153179332,1.778051223440802,2419.663438974577
temperature,16,0.8472309549635096,3.161466153179332,1.778051223440802,2419.663438974577
temperature,2,0.8472309549635096,3.161466153179332,1.778051223440802,2419.663438974577
temperature,3,0.8516300217724578,2.944603118197225,1.715984591480129,2315.8420774118467
temperature,4,0.8472309549635096,3.161466153179332,1.778051223440802,2419.663438974577
temperature,5,0.8549891652794268,3.0274539838184333,1.7399580408212243,2356.381837515076
temperature,6,0.8549891652794268,3.0274539838184333,1.7399580408212243,2356.381837515076
temperature,7,0.8549891652794268,3.0274539838184333,1.7399580408212243,2356.381837515076
temperature,8,0.8549891652794268,3.0274539838184333,1.7399580408212243,2356.381837515076
temperature,9,0.8549891652794268,3.0274539838184333,1.7399580408212243,2356.381837515076
