variable,parcela_id,A,omega,phi,offset,r2,mse,rmse
evapotranspiration,1,1.6681777972132203,0.01732170088605777,-1.381152294198693,4.597524296153354,0.5839399715178135,1.001277477611517,1.0006385349423221
evapotranspiration,10,1.5254655337746594,0.01730647390840094,-1.4040503052487463,4.375895845726111,0.5856768497551215,0.8323143668792616,0.9123126475497649
evapotranspiration,11,1.5254655337746594,0.01730647390840094,-1.4040503052487463,4.375895845726111,0.5856768497551215,0.8323143668792616,0.9123126475497649
evapotranspiration,13,1.6681777972132203,0.01732170088605777,-1.381152294198693,4.597524296153354,0.5839399715178135,1.001277477611517,1.0006385349423221
evapotranspiration,14,1.6375189156633234,0.01732406641852642,-1.3949940687232356,4.597559353686646,0.5802393486687627,0.9801762725160241,0.9900385207233222
evapotranspiration,15,1.6330292665483652,0.017329061117388644,-1.353736891843597,4.852317586366925,0.5311025434754206,1.1872554555384862,1.0896125254137299
evapotranspiration,16,1.6681777972132203,0.01732170088605777,-1.381152294198693,4.597524296153354,0.5839399715178135,1.001277477611517,1.0006385349423221
evapotranspiration,2,1.6330292665483652,0.017329061117388644,-1.353736891843597,4.852317586366925,0.5311025434754206,1.1872554555384862,1.0896125254137299
evapotranspiration,3,1.6375189156633234,0.01732406641852642,-1.3949940687232356,4.597559353686646,0.5802393486687627,0.9801762725160241,0.9900385207233222
evapotranspiration,4,1.6681777972132203,0.01732170088605777,-1.381152294198693,4.597524296153354,0.5839399715178135,1.001277477611517,1.0006385349423221
evapotranspiration,5,1.5254655337746594,0.01730647390840094,-1.4040503052487463,4.375895845726111,0.5856768497551215,0.8323143668792616,0.9123126475497649
evapotranspiration,6,1.5254655337746594,0.01730647390840094,-1.4040503052487463,4.375895845726111,0.5856768497551215,0.8323143668792616,0.9123126475497649
evapotranspiration,7,1.5254655337746594,0.01730647390840094,-1.4040503052487463,4.375895845726111,0.5856768497551215,0.8323143668792616,0.9123126475497649
evapotranspiration,8,1.5254655337746594,0.01730647390840094,-1.4040503052487463,4.375895845726111,0.5856768497551215,0.8323143668792616,0.9123126475497649
evapotranspiration,9,1.5254655337746594,0.01730647390840094,-1.4040503052487463,4.375895845726111,0.5856768497551215,0.8323143668792616,0.9123126475497649
relative_humidity,1,-5.728348604143008,0.016765818976058968,0.48418478365499323,48.088404814140574,0.13423462729420343,105.33277114684778,10.263175490404896
relative_humidity,10,-5.1076754276425484,0.016799284402251088,0.34761591179956214,48.80227771784656,0.11556110873742331,99.26544691047104,9.963204650636815
relative_humidity,11,-5.1076754276425484,0.016799284402251088,0.34761591179956214,48.80227771784656,0.11556110873742331,99.26544691047104,9.963204650636815
relative_humidity,13,-5.728348604143008,0.016765818976058968,0.48418478365499323,48.088404814140574,0.13423462729420343,105.33277114684778,10.263175490404896
