Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,grndvi_mean,grndvi_min,grndvi_max,dia,ndvi_mean_pred_1,ndvi_mean_pred_2,ndvi_mean_pred_3,ndvi_mean_pred_4,ndvi_mean_pred_5,ndvi_mean_pred_6,ndmi_mean_pred_1,ndmi_mean_pred_2,ndmi_mean_pred_3,ndmi_mean_pred_4,ndmi_mean_pred_5,ndmi_mean_pred_6
41,2020-11-17,2,0.2654128863313392,0.1061046511627906,0.3882959146117041,0.0781992754585661,-0.1262392597488433,0.1982008995502248,0.8595288333273532,0.6691691691691691,1.2889561270801817,0.2611154995432631,0.1923076923076923,0.36832895888014,6.244188525432949,-231.78571428571428,1637.5,-0.2611154995432631,-0.36832895888014,-0.1923076923076923,0.4328782434570676,0.1957119296316658,0.8101522842639595,0.1277278481751469,0.0753270184934596,0.2023220812728445,5176.184023913242,2827.0278940027893,6642.752368064953,1,0.2719247587748194,0.06867499623616685,0.17157443979939743,0.20750112386594327,0.1796029553370416,0.010277219748326337,-0.16816096165759734,-0.297931184027231,-0.1515217243327649,-0.09366314903173373,-0.1019960845736434,-0.01090046298738767
42,2020-11-22,2,0.215964316405618,0.137037037037037,0.7752635638981743,-0.0472304342299632,-0.2435301924353019,0.2978473581213307,1.1129539788043683,0.5410132689987938,1.643859649122807,0.3457694291729103,0.2746249184605349,0.6544696618805003,0.5140807896184355,0.2607784038789149,3.338870431893688,-0.3457694291729103,-0.6544696618805003,-0.2746249184605349,0.3191242489528964,0.1480446927374301,2.357833655705996,0.0594873548668906,0.0045495905368516,0.4520402755696873,3034.02776429,1867.790780141844,5082.565744920994,6,0.27743165344036796,0.08621298686598754,0.17628700175709125,0.2043167191024088,0.18523442300703383,0.0553031192579605,-0.1626076041084816,-0.2846962529346433,-0.1565353280966617,-0.11139451976931268,-0.11709456764192017,-0.05786881245016992
43,2020-11-27,2,0.1831638002011356,0.1119030648610121,0.7300420168067226,-0.1745251866131325,-0.2627865961199294,0.2509448223733938,1.437897090024544,0.5987915407854985,1.7129186602870814,0.2933775002767523,0.2382234185733512,0.617567234147545,0.4132205943622435,0.2158372284850151,2.681844491607177,-0.2933775002767523,-0.617567234147545,-0.2382234185733512,0.2271948982945382,0.1020134228187918,1.9281663516068053,0.0544824467480805,0.0192632646164244,0.4355828220858895,3673.474901302792,3079.700746268657,4822.537598544573,11,0.2829385481059165,0.10351088328049896,0.18140969556966163,0.20225416779134248,0.190772495105898,0.09450060491587269,-0.15705424655936584,-0.27161461638627143,-0.16077705864549088,-0.12720781651209712,-0.1306379069011585,-0.09740555949192414
44,2020-12-02,2,0.209615705313537,0.1593172119487909,0.7703404500865552,-0.2705971018915958,-0.3528990694345025,0.2568499901438991,1.773138806322047,0.5912797992471769,2.09070796460177,0.3385006623014654,0.2950741272118603,0.6783364043169255,0.4634686193686508,0.2950862863917797,2.5371017023134,-0.3385006623014654,-0.6783364043169255,-0.2950741272118603,0.2553164946016959,0.1212624584717607,2.465868263473054,0.0490119963478682,0.0116585182399398,0.4600711283543485,3350.144592368691,2685.829563812601,4305.633015873016,16,0.28844544277146505,0.1205686854797011,0.18692937687915284,0.20126733965445054,0.1962678825318318,0.12848138858602237,-0.15150088901025008,-0.25868627438211544,-0.16426561829949912,-0.14117486416060698,-0.14266900632205431,-0.1302259546733093
45,2020-12-07,2,0.1777380306175196,0.0899621212121212,0.2879884225759768,0.0346905609863577,-0.0505758637956935,0.1403249630723781,0.9359449016845158,0.7538860103626943,1.1065400843881856,0.1909206319707903,0.13189448441247,0.2543127434613244,inf,-756.6666666666667,inf,-0.1909206319707903,-0.2543127434613244,-0.13189448441247,0.1798148554307835,0.0117016089712336,0.3287589498806682,0.0679929211573012,0.0203495331577687,0.1082734769885607,5462.608203255068,4480.653403141361,6190.670428893905,21,0.2939523374370136,0.13738639346359396,0.1928329013276089,0.2013107625504028,0.20176756405790924,0.1578168669361917,-0.14594753146113432,-0.24591122692217535,-0.16701970937893312,-0.1533664277106043,-0.1532310210857349,-0.15699640398423254
46,2020-12-12,2,0.1790840372409172,0.1268882175226586,0.7272219116825042,-0.2595845400857263,-0.3198085251880556,0.2338269680436477,1.7292594796749172,0.6209728363866077,1.9403485254691688,0.2692301685915302,0.2164696290256828,0.6148419127253724,0.4928005282729558,0.3146633102580238,2.743419644767815,-0.2692301685915302,-0.6148419127253724,-0.2164696290256828,0.2354035060805525,0.1210061182868795,1.9544159544159545,0.0483218004800908,0.0095956134338588,0.407928029238122,3830.209303149207,3394.726907630522,4678.542367601246,26,0.2994592321025621,0.15396400723217754,0.19910712455707402,0.2023396224748328,0.20731487562954548,0.18303967205273333,-0.14039417391201856,-0.23328947400645111,-0.16905803420403953,-0.16385221225309315,-0.1623673309158809,-0.17833658062215213
47,2020-12-27,2,0.2002731989304638,0.1489088575096277,0.7079400333148251,-0.2392160874519779,-0.2906236741620704,0.2134038800705467,1.6481136085671328,0.6482558139534884,1.819377990430622,0.3095102845577198,0.2611111111111111,0.6379126730564431,0.4291650399403064,0.2944626935710934,1.781721632196758,-0.3095102845577198,-0.6379126730564431,-0.2611111111111111,0.2231216076694361,0.1235109717868339,1.704824976348155,0.0556500221544251,0.0229709035222052,0.3932261768082664,4052.715423914293,3680.765776699029,4683.568459657701,41,0.3159799160992077,0.20225628324607264,0.22002254335196478,0.21090055642977748,0.22462318290383507,0.23880869576188243,-0.12373410126467127,-0.1963439825245735,-0.17106543435586058,-0.1857560441741819,-0.18165863615478903,-0.21531435907948085
48,2021-01-06,2,0.2059647073770929,0.1609120521172638,0.6517754868270332,-0.2422636367817478,-0.2953493054157439,0.1683521713265913,1.6548040819859051,0.7118126272912424,1.8382857142857143,0.2945180564423587,0.2493224932249322,0.5802739726027397,0.4638628943845753,0.3298749667464751,1.6886424932574169,-0.2945180564423587,-0.5802739726027397,-0.2493224932249322,0.2565328372713987,0.1280898876404494,1.2475,0.0723765309084582,0.0335403726708074,0.3160444571102878,3977.337892391864,3667.773665048544,4606.49640992167,51,0.32699370543030476,0.23325066284545634,0.23557866989107945,0.22074305695877106,0.23703889580507304,0.26358182423280885,-0.11262738616643976,-0.17248012759106768,-0.16916774572329293,-0.19305993470500218,-0.18819395421856763,-0.2222577028428324
50,2021-01-26,2,0.2804843217054437,0.2109020116807268,0.5952143569292123,-0.229816654671291,-0.2926249008723235,0.0852915578764142,1.6073876926690525,0.842822774659182,1.8273542600896864,0.3297801812212642,0.279835390946502,0.5465639049454079,0.7533233179424721,0.5261479591836735,1.6178549787921632,-0.3297801812212642,-0.5465639049454079,-0.279835390946502,0.4095588083728409,0.2060682680151706,1.1464318813716403,0.1261324708308252,0.0588935157644259,0.3224489795918367,3767.1294949173807,3318.094718714122,4188.810867293626,71,0.3490212840924989,0.2923582914605124,0.2700877597049476,0.24887549515270072,0.2648461889638587,0.2955837983038528,-0.09041395596997673,-0.12659195225464634,-0.1582793590259628,-0.19244090495813254,-0.1876718787907779,-0.2077380983434925
51,2021-01-31,2,0.2759658220034963,0.2046481601032924,0.5817972350230415,-0.2272357108611341,-0.2802559759081498,0.0572542581571926,1.5975368260115592,0.8916925465838509,1.778765690376569,0.3158574098699206,0.2540322580645161,0.5238623751387348,0.9168545910548396,0.5936920222634509,2.015974440894569,-0.3158574098699206,-0.5238623751387348,-0.2540322580645161,0.4245204032073361,0.2782440284054228,1.1150895140664965,0.1225464581841239,0.0777016969336111,0.289090909090909,4150.572222530147,3696.0623689727454,4556.800193050193,76,0.35452817875804743,0.3065349630760033,0.2793460310569301,0.25743874525373944,0.2725157035912298,0.30150025619339316,-0.08486059842086097,-0.11550314478108066,-0.15418864892136208,-0.18946950038402552,-0.1849673559171946,-0.20000027744003213
