Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,ndmi_mean_pred_1,ndmi_mean_pred_2,ndmi_mean_pred_3,ndmi_mean_pred_4,ndmi_mean_pred_5,ndmi_mean_pred_6,ndmi_mean_pred_7,ndmi_mean_pred_8,ndmi_mean_pred_9
1,2022-02-15,11,0.1901175792959514,0.1340361445783132,0.2647317502198769,-0.2453226597505165,-0.3377146491414034,-0.0969154955283811,1.6594824090519391,1.2146321746160065,2.019846350832266,0.3270622940934165,0.2507692307692307,0.4065454545454545,0.4315155888500257,0.3160704751735184,0.6786922209695603,3.724121,0.3886352161903441,1.4473245699540005,0,-0.07314313146683499,-0.2770141370248567,-0.2835707507094082,-0.272962217031976,-0.2619057056833793,-0.0008462218252868926,-3.0387222467167013e-07,2.9536510110561474e-16,1.8699853534549037e-20
2,2022-03-02,11,0.1876995636857235,0.1417197452229299,0.2565656565656565,-0.2293334429743569,-0.2930360836589289,-0.1072826938136256,1.5989709262833407,1.2403508771929823,1.828998699609883,0.3136857876437753,0.2505042355788624,0.3774727492935002,0.3856251139950097,0.2923644621061595,0.5426615461679747,4.216826,0.385854498238582,1.6270812803894068,15,-0.050899071572649494,-0.19853529647043655,-0.20163680456754512,-0.19906622147546138,-0.19950544805180503,-0.12420470145104907,-0.028326517592219547,0.00023364454467664523,3.412391399615751e-05
3,2022-03-07,11,0.2253378002485693,0.1814842027920646,0.2845953002610966,-0.183272312074926,-0.2499034376207029,-0.0824781451919422,1.4515979770295149,1.179784589892295,1.666323377960865,0.2984522641353535,0.2388289676425269,0.3486884197056942,0.7632698917567238,0.5173099880620772,1.115942028985507,4.7891393,0.4291384702858547,2.055203913187869,20,-0.04348438494125433,-0.17353316195062957,-0.17566471492979543,-0.1750541635611829,-0.17765583727598505,-0.13893310387540306,-0.04272405556402563,0.0006925690417123016,0.00013403614500084854
6,2022-03-17,11,0.2833150388240789,0.2097976570820021,0.3538461538461538,-0.1368047206460102,-0.2172701949860724,-0.040551500405515,1.3202275515632782,1.084530853761623,1.5551601423487544,0.3531087753904029,0.2961719274680994,0.3988919667590028,0.7762920324449838,0.5058415714469123,1.1665098777046097,6.025213,0.4958122946476907,2.987374683271097,30,-0.028655011678464,-0.1252651114085152,-0.12571264301512258,-0.12809412819517652,-0.1331326970148218,-0.14053724188477779,-0.06709488913785158,0.00307675912008039,0.0008814464605859475
4,2022-03-22,11,0.3235615210885,0.2217283950617284,0.4534199938099659,-0.0946427483353228,-0.1818985327912321,0.0031243490939387,1.2124234170080486,0.9937707641196012,1.444684528954192,0.4010026468357477,0.3302180685358255,0.4792703150912106,0.7208219199738128,0.4538072897870804,1.1534839924670433,5.8426514,0.542095749251775,3.167276488299932,35,-0.02124032504706884,-0.10199919538620783,-0.10172708365370606,-0.10518819254219655,-0.1106815019301646,-0.13064911455509498,-0.07474163324565361,0.00533243032312603,0.001769693246918708
5,2022-03-27,11,0.3429839613745676,0.2117527862208713,0.5003092145949288,-0.0918302114341256,-0.2023765317489788,0.0284060068753392,1.206863065962284,0.9447572132301196,1.5074487895716946,0.4125470376025323,0.3271676300578034,0.5118685331710287,0.8111511866644096,0.4442112626792585,1.395273551311104,5.480632,0.5644315555807528,3.093441645325652,40,-0.013825638415673677,-0.079312018863067,-0.07839812396657381,-0.08269172925768827,-0.08823947466870202,-0.11550169910590105,-0.07842352407442033,0.008501981919587561,0.003200832624481732
9,2022-04-11,11,0.4579874106133674,0.2966233766233766,0.5593594699061292,0.0043078462398669,-0.1369351002378525,0.095847885137757,0.9959460015192156,0.8250708215297451,1.3173228346456691,0.4479488648573027,0.3574207893274041,0.5079452054794521,1.478832397858333,0.7641862955032119,2.127586206896552,6.4632335,0.6966855222053725,4.502841206082757,55,0.008418421478511823,-0.014722926288643705,-0.012322957528415446,-0.01784639929596918,-0.02185881769629685,-0.04978007357129316,-0.06359005766999837,0.024659063874255666,0.012456263975982556
10,2022-04-16,11,0.4567334418255325,0.2947576656775469,0.5474530831099196,-0.0118050548270746,-0.160224538893344,0.0651411699575567,1.0279348607308456,0.8776853776853777,1.3815889992360582,0.4541262708258956,0.3607068607068607,0.5142555438225976,1.6261831696627544,0.8175582990397805,2.376341577228185,5.9641294,0.6952434580993624,4.146521948608076,60,0.015833108109906985,0.005649292237830987,0.00840748888404702,0.00282877938580393,-0.00030952898319386996,-0.02417748439493933,-0.05036785521271647,0.032505894703062206,0.01775244934500889
11,2022-05-01,11,0.505404953601433,0.3064133016627078,0.5949512335054504,0.0573103398133584,-0.1629686304514154,0.1552046540619156,0.896268233266343,0.731294964028777,1.3893967093235833,0.4523958844025518,0.3456334563345633,0.5092230296254892,2.428493022459216,0.9617503541633874,4.034833091436865,4.557532,0.751215696641648,3.423689576346604,75,0.03807716800409247,0.06329351082225584,0.06675404051211709,0.06180994497220489,0.06168436820979714,0.05422678173345791,0.00877563630949263,0.06356180326702185,0.04211503477030664
12,2022-05-11,11,0.5224312483784457,0.3330254041570439,0.6167832167832168,0.0825740351883489,-0.1269096959612766,0.1804176651831564,0.8511843621309715,0.6943155452436195,1.2907137907137909,0.4760719643951515,0.359966708281315,0.5578667846868777,2.39277863247118,1.0401038661281017,13.148614609571789,5.340196,0.7707959356352125,4.11620137229542,85,0.052906541266882795,0.09882929238270634,0.10247563734553339,0.09845057231586164,0.1002795361932724,0.10334038838385251,0.05892917198586023,0.08991707999658262,0.0660086982266171
