Fecha,rh12,dia,reconstruida_rh12,ajustados_rh12
2020-01-01,69.903656,1,60.38389688699185,48.697741724001204
2020-01-02,70.18706,2,56.9307404926341,48.617902208349506
2020-01-03,44.414204,3,53.303021487043026,48.538491805624396
2020-01-04,36.821163,4,49.52662896610654,48.45953296815658
2020-01-05,41.858917,5,45.76303397627085,48.381048020602165
2020-01-06,45.905567,6,42.34470646395242,48.30305915363062
2020-01-07,36.380386,7,39.731543820900015,48.22558841765062
2020-01-08,45.149284,8,38.397681822793594,48.14865771657557
2020-01-09,51.603977,9,38.68511042711827,48.072288801630556
2020-01-10,54.11019,10,40.67488940535883,47.99650326520241
2020-01-11,23.295511,11,44.123306564366175,47.92132253473477
2020-01-12,38.27416,12,48.490126554901224,47.84676786666967
2020-01-13,48.11599,13,53.05601488932927,47.77286034043761
2020-01-14,58.78133,14,57.096535615143736,47.69962085249754
2020-01-15,66.87103,15,60.060888210533236,47.627070110428676
2020-01-16,68.853645,16,61.70124418850785,47.55522862707567
2020-01-17,67.56697,17,62.11388876206509,47.48411671474885
2020-01-18,60.33157,18,61.68117779578869,47.41375447948116
2020-01-19,60.932526,19,60.934328659414454,47.34416181534343
2020-01-20,49.904644,20,60.381131807692945,47.27535839881957
2020-01-21,60.622906,21,60.35216922505644,47.20736368324325
2020-01-22,55.340473,22,60.91140907267577,47.140196893297755
2020-01-23,65.64098,23,61.85517062490586,47.073877019580394
2020-01-24,55.15957,24,62.79497351184244,47.00842281323318
2020-01-25,73.76351,25,63.294084011145415,46.94385278064113
2020-01-26,86.81925,26,63.012694199211275,46.88018517819984
2020-01-27,50.384243,27,61.81674435601026,46.81743800715368
2020-01-28,60.38803,28,59.81948614076222,46.75562900850621
2020-01-29,32.39236,29,57.34758158512936,46.69477565800407
2020-01-30,54.05912,30,54.84703360496795,46.63489516119594
2020-01-31,57.81787,31,52.76106822132585,46.57600444856791
2020-02-01,55.83077,32,51.41752389160387,46.518120170756546
2020-02-02,59.342545,33,50.95673285931593,46.461258693841174
2020-02-03,60.871704,34,51.315627115558776,46.4054360947165
2020-02-04,54.742485,35,52.265651813755525,46.35066815654713
2020-02-05,41.57959,36,53.48708027432728,46.29697036430503
2020-02-06,41.339394,37,54.65475951123663,46.24435790039138
2020-02-07,59.01357,38,55.51140668966494,46.192845640343855
2020-02-08,57.67601,39,55.91249642974684,46.142448148630834
2020-02-09,53.531437,40,55.837701303616356,46.093179674533424
2020-02-10,59.059547,41,55.37361475650901,46.04505414811666
2020-02-11,63.561275,42,54.67818200796278,45.99808517629095
2020-02-12,59.430748,43,53.93811366199212,45.95228603896488
2020-02-13,43.58997,44,53.327850481633654,45.90766968529047
2020-02-14,54.486687,45,52.974832589631255,45.86424873000199
2020-02-15,46.7485,46,52.933202816703094,45.822035449849274
2020-02-16,53.88761,47,53.1676984195004,45.78104178012662
2020-02-17,53.04719,48,53.55075003387458,45.74127931129822
2020-02-18,55.4055,49,53.876863214910095,45.70275928572112
2020-02-19,52.227604,50,53.89717637382905,45.66549259446656
2020-02-20,55.353306,51,53.372658478866356,45.629489774240675
2020-02-21,54.556995,52,52.137513259437725,45.594761004405335
2020-02-22,46.639217,53,50.15752053165729,45.561316104100094
2020-02-23,51.17941,54,47.56461635039648,45.52916452946591
2020-02-24,56.2633,55,44.65169683813169,45.498315370971575
2020-02-25,41.120975,56,41.821090163682555,45.46877735084345
2020-02-26,25.970247,57,39.49429358629488,45.440558820599406
2020-02-27,22.40106,58,38.00496083852055,45.413667758687495
2020-02-28,37.13795,59,37.50635060257807,45.38811176823016
2020-02-29,47.59885,60,37.924190312349204,45.36389807487455
2020-03-01,51.565704,61,38.97479017506515,45.34103352474954
2020-03-02,48.42873,62,40.2487525668224,45.31952458253007
2020-03-03,48.49006,63,41.338671653751184,45.299377329609364
2020-03-04,24.756815,64,41.97232205713126,45.28059746237945
2020-03-05,36.25652,65,42.10750587110457,45.2631902906206
2020-03-06,31.016628,66,41.95398472295292,45.247160736000055
2020-03-07,44.524258,67,41.90986840551076,45.23251333068047
2020-03-08,50.76006,68,42.42789650205536,45.21925221603849
2020-03-09,45.271152,69,43.85196951713657,45.207381141493876
2020-03-10,52.750668,70,46.27719479703357,45.19690346344933
2020-03-11,50.165794,71,49.482316196192166,45.18782214434158
2020-03-12,53.48555,72,52.962084850740844,45.18013975180374
2020-03-13,48.616127,73,56.05519674655398,45.17385845793937
2020-03-14,58.980003,74,58.13121352949366,45.168980038708305
2020-03-15,62.16745,75,58.77839500725521,45.165505873424586
2020-03-16,55.56917,76,57.93146021439688,45.16343694436641
2020-03-17,48.856224,77,55.89578642554968,45.16277383649844
2020-03-18,50.902206,78,53.25734483818587,45.1635167373064
2020-03-19,49.82045,79,50.705190590173736,45.16566543674409
2020-03-20,57.458736,80,48.82298401689051,45.169219327292716
2020-03-21,60.130985,81,47.917480876024705,45.174177404132735
2020-03-22,48.637238,82,47.94074809521158,45.18053826542789
2020-03-23,41.986034,83,48.53221336106918,45.1883001127216
2020-03-24,44.081757,84,49.16647520914905,45.19746075144545
2020-03-25,45.28978,85,49.3565553127504,45.208017591539644
2020-03-26,44.795406,86,48.84243961805934,45.21996764818536
2020-03-27,46.135735,87,47.69849751012288,45.23330754264865
2020-03-28,45.84105,88,46.3199625640707,45.24803350323574
2020-03-29,54.643665,89,45.2895517548704,45.264141366359404
2020-03-30,55.52532,90,45.16686679915785,45.2816265777162
2020-03-31,47.433167,91,46.271311569758986,45.300484193574164
2020-04-01,47.212234,92,48.53401050338049,45.32070888217052
