parcela,rh12
1,45.92890388397791
10,47.646745535911606
11,46.64808646408841
13,47.184820790055255
14,45.84555824309392
15,49.561153651933694
16,51.62651281215469
2,45.84555824309392
3,45.966666193370166
4,46.7994923038674
5,52.70783947513812
6,51.384425729281766
7,47.563756331491724
8,52.67547589502763
9,52.91882769060773
