Variable,R2,P_values,MSE,RMSE
ndvi_max,0.5209003750835183,[0.00231978 0.00010133],3360.6680372997007,57.97126906752776
ndvi_mean,0.1521601844306183,[0.62490899 0.06575462],981.6845846648084,31.331846173898025
gndvi_max,0.5624736094494056,[8.55590474e-04 3.77970651e-05],3628.8840851729738,60.24021983005186
gndvi_mean,0.54064569152325,[2.61468799e-03 6.41037652e-05],3488.057951032697,59.05978285629483
cire_max,0.4621432981735256,[9.19989020e-01 3.59250187e-04],2981.587814320571,54.603917573014584
cire_mean,0.5576168083832989,[4.80717853e-01 4.26017208e-05],3597.5496940165635,59.979577307751704
ndre1_max,0.48874692744345094,[0.03324498 0.00020595],3153.2251769338613,56.153585610661246
ndre1_mean,0.5080732835402899,[0.0671671  0.00013516],3277.91210425985,57.25305323089634
msi_mean,0.3583768047227478,[0.25063974 0.45738358 0.58823773],1156.061245634763,34.000900659170235
