parcela,real_mean,model_mean,real_pos,model_pos,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,0.4948669911521797,0.49350387479999996,0.6111954240314901,0.5544349993,2021-07-20,2021-09-04,0.301471976795511,0.3188780383,2020-11-27,2022-03-07,2022-03-07,2022-03-07,465,0
10,0.5512872606290169,0.5577149021,0.6748738310203506,0.6510877398999999,2021-10-18,2021-10-26,0.3221053212358522,0.3026572531,2020-12-27,2021-02-10,2022-01-16,2022-01-16,385,340
11,0.5161149643558849,0.5299912001999999,0.669850753726836,0.6444371538999999,2021-10-18,2021-10-30,0.2313257436635602,0.2280943456999999,2020-11-27,2020-12-12,2022-01-16,2022-01-16,415,400
13,0.4903552455006401,0.49847861476666666,0.6438512820310042,0.6083588145,2021-10-18,2021-10-11,0.1737905688950493,0.1742792241,2021-01-05,2021-01-31,2022-03-27,2022-03-27,446,420
14,0.5422403806836003,0.5487421257333334,0.6635638771057752,0.6303196604000001,2021-07-20,2021-10-28,0.323221540618724,0.3184730564,2020-11-17,2020-11-17,2022-02-15,2022-02-15,455,455
15,0.5222072488878277,0.5195981556500001,0.6897694989896985,0.6399362893,2021-10-03,2021-10-30,0.1118893808811066,0.1648331314,2021-01-27,2021-01-26,2022-04-16,2022-04-16,444,445
16,0.48117074739114357,0.4865866446999999,0.5954192140203443,0.5831013226,2021-06-10,2021-10-10,0.1629955748465403,0.2335830941999999,2021-02-10,2021-03-12,2022-04-16,2022-04-16,430,400
2,0.4900496648876197,0.4966937310833334,0.6931149957271119,0.6093613653000001,2021-10-18,2021-12-10,0.1909206319707903,0.1769312525,2020-11-28,2021-02-10,2022-04-16,2022-04-16,504,430
3,0.48471274010022797,0.4918081453333334,0.5954020619051836,0.5525093972,2021-06-05,2021-09-10,0.2451596483197886,0.310834037,2020-10-03,2020-10-08,2022-02-15,2022-02-15,500,495
4,0.4440232304963182,0.47797189889999997,0.6867151426424186,0.6142461189,2021-10-18,2021-11-22,0.1649906466168998,0.1371535539,2020-06-05,2020-07-15,2022-03-02,2022-03-02,635,595
5,0.535718624189144,0.53647624315,0.6779719078097827,0.6286882971000001,2021-10-18,2021-11-18,0.2797313426125937,0.2614153739,2021-03-27,2021-05-06,2022-03-17,2022-03-17,355,315
6,0.5291267408644227,0.5345926727,0.6547720264895085,0.6247160315,2021-10-18,2021-11-28,0.1955291242045276,0.3036657937,2021-05-06,2021-05-21,2022-05-11,2022-05-11,370,355
7,0.5284221065159379,0.5178565276,0.7015619549697797,0.6767574776,2021-10-18,2022-01-16,0.2988460655119415,0.3404520145999999,2020-12-22,2021-02-05,2022-01-16,2022-01-16,390,345
8,0.5108570374863453,0.51255300235,0.6378149404872668,0.5876042653,2021-10-18,2021-11-14,0.2578488484723626,0.3119021416,2021-03-22,2021-05-06,2022-05-11,2022-05-11,415,370
9,0.5127131531851732,0.5274512692,0.673491977818532,0.6296790798,2021-11-07,2021-11-19,0.2437765865183591,0.2562169092,2021-04-06,2021-05-01,2022-05-11,2022-05-11,400,375
