parcela,real_mean,model_mean,real_pos,model_pos,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,1.0795113842838495,1.0782637733000002,2.1376071752299186,1.4902545751,2021-07-20,2021-08-20,0.374063333475306,-0.0270549907,2020-12-18,2021-01-06,2022-03-07,2022-03-07,444,425
10,1.6526845588207633,1.71199275565,2.7121668199981994,2.4287459043,2021-10-18,2021-10-09,0.1859493309445333,-0.3413628371,2021-01-26,2021-01-26,2022-01-16,2022-01-16,355,355
11,1.6007932588340594,1.6649143521999998,2.934796988292113,2.3374092941999995,2021-06-20,2021-10-05,0.1709211731236004,-0.2477434578,2020-12-26,2020-12-12,2022-01-16,2022-01-16,386,400
13,1.3383663804269046,1.384368002216667,2.4538253078130894,2.0654180693000006,2021-06-20,2021-09-07,0.124359066204867,-0.3761689957,2021-01-29,2021-01-31,2022-03-27,2022-03-27,422,420
14,1.5659603029160911,1.6297533312166668,3.027057165457721,2.2294457635,2021-07-20,2021-09-29,0.3845191814301326,-0.1500764857,2020-12-12,2021-01-06,2022-02-15,2022-02-15,430,405
15,1.5147643800422643,1.5317198726666668,2.8705817933165707,2.2913330235,2021-10-03,2021-09-28,0.1289165407157452,-0.4399591244999999,2021-02-17,2021-02-20,2022-04-16,2022-04-16,423,420
16,1.0455312156884302,1.0802109733,2.020006088033809,1.5496618777,2021-06-10,2021-09-16,0.2311108911251949,0.1067239542999999,2022-04-15,2021-02-20,2022-04-16,2022-04-16,1,420
2,1.3626743265557681,1.392370854966667,3.091810245603217,2.0679748231,2021-10-18,2021-10-17,0.1798148554307835,-0.6199867697,2021-01-12,2020-12-27,2022-04-16,2022-04-16,459,475
3,1.2299348580897627,1.2648414586333334,2.0162170535845334,1.5712924767,2021-06-05,2021-08-11,0.2113697341582818,0.3668329503,2020-10-03,2020-10-08,2022-02-15,2022-02-15,500,495
4,1.2621668536435497,1.4466750684499998,3.221244733406526,2.1251516942000004,2021-07-20,2021-09-30,0.1468407874013141,-0.4368274378,2020-07-05,2020-07-10,2022-03-02,2022-03-02,605,600
5,1.5036210947149458,1.5499279837000004,2.761416712542136,2.2397447323000006,2021-10-18,2021-10-24,0.289043073671001,-0.3873904413,2021-04-22,2021-03-27,2022-03-17,2022-03-17,329,355
6,1.41094600496894,1.4530087606,2.314469315775868,1.9515563916,2021-10-18,2021-11-12,0.2146130522408852,0.3805703096,2021-05-06,2021-05-06,2022-05-11,2022-05-11,370,370
7,1.5414431957042964,1.4969182941999999,3.215447274292859,2.4323534117000003,2021-10-18,2022-01-16,0.213633024670714,-0.2123541343,2021-01-25,2021-01-06,2022-01-16,2022-01-16,356,375
8,1.2008819150630379,1.2134124929,2.1421618614557314,1.7634755990999995,2021-10-18,2021-10-27,0.1947862618640636,-0.0502939641,2021-04-07,2021-04-06,2022-05-11,2022-05-11,399,400
9,1.3454693208695876,1.4342724827999997,2.743240008335359,2.1233070154,2021-11-07,2021-11-06,0.2156986711759016,-0.1955094372,2021-04-26,2021-04-06,2022-05-11,2022-05-11,380,400
