parcela,real_mean,model_mean,real_pos,model_pos,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,0.521283218777837,0.5179130052,0.72202550874654,0.6378224222000001,2021-07-20,2021-09-08,0.2785779101430273,0.1710159061999999,2020-12-06,2020-11-27,2022-03-07,2022-03-07,456,465
10,0.5929553503498751,0.6038705464499999,0.7890021838023153,0.7788958653,2021-11-07,2021-10-19,0.2034589981457319,0.1164339237,2021-01-16,2021-01-06,2022-01-16,2022-01-16,365,375
11,0.5769401210113648,0.6004874001,0.7840497060866017,0.7746283089000001,2021-10-18,2021-10-15,0.1594762461502089,0.1188835521,2020-12-18,2020-12-27,2022-01-16,2022-01-16,394,385
13,0.5612792446285566,0.5696931660500001,0.7681974957740022,0.7486486013,2021-10-18,2021-10-08,0.1362012375746578,0.0441063998,2021-01-30,2021-02-20,2022-03-27,2022-03-27,421,400
14,0.5835557163749441,0.5937942210833334,0.7700155267578692,0.7377554503,2021-07-20,2021-10-24,0.2594968947340531,0.183509293,2020-11-23,2020-11-22,2022-02-15,2022-02-15,449,450
15,0.59257277945402,0.5905291205166667,0.8084800598883817,0.7694509746000001,2021-10-03,2021-10-26,0.1193861138776077,0.0673530201,2021-02-14,2021-02-20,2022-04-16,2022-04-16,426,420
16,0.516251144091744,0.5308464242000002,0.7119761681256356,0.6871565432000001,2021-06-10,2021-09-28,0.1896701714501091,0.1604441232,2021-02-19,2021-02-25,2022-04-16,2022-04-16,421,415
2,0.545351460351128,0.5544883854999999,0.8124829499556504,0.7252521985,2021-10-18,2021-11-14,0.1777380306175196,0.0495777505,2020-12-30,2020-12-27,2022-04-16,2022-04-16,472,475
3,0.5513907679995114,0.5624548979333333,0.7096765158315306,0.6550456666,2021-06-05,2021-09-08,0.1702682588862019,0.2861379146,2020-10-03,2020-10-18,2022-02-15,2022-02-15,500,485
4,0.487435696102316,0.5351070841500001,0.8048816829772493,0.7287521177999999,2021-10-18,2021-11-09,0.1383436056587455,0.0371702604,2020-07-06,2020-05-16,2022-03-02,2022-03-02,604,655
5,0.5864963849653089,0.5897144841999999,0.7865325052397512,0.7420037236999999,2021-10-18,2021-11-16,0.2502629950032342,0.1357071497,2021-04-09,2021-04-26,2022-03-17,2022-03-17,342,325
6,0.5965419251149339,0.6043608627,0.7609235156994041,0.7350553907000001,2021-10-18,2021-11-27,0.1704973205672252,0.2711216947,2021-05-06,2021-05-16,2022-05-11,2022-05-11,370,360
7,0.5567157064914918,0.5445686587,0.8191929435045806,0.7887253832000001,2021-10-18,2022-01-16,0.2188868296699014,0.1491772922,2021-01-10,2021-01-06,2022-01-16,2022-01-16,371,375
8,0.552516967250159,0.55747560565,0.7351297424896669,0.7032923154,2021-12-17,2021-11-12,0.2070295628635241,0.1716478438999999,2021-03-29,2021-04-06,2022-05-11,2022-05-11,408,400
9,0.5584513249774967,0.5839626207,0.7854315283092309,0.7482215073,2021-10-18,2021-11-21,0.2138770551870967,0.1434198206999999,2021-04-17,2021-05-01,2022-05-11,2022-05-11,389,375
