Fecha,rh12
2020-08-20,51.264084
2020-08-21,49.365166
2020-08-22,51.918423
2020-08-23,50.215054
2020-08-24,49.197414
2020-08-25,66.402794
2020-08-26,47.915493
2020-08-27,50.358223
2020-08-28,53.552086
2020-08-29,51.777756
2020-08-30,48.662315
2020-08-31,52.723392
2020-09-01,52.48795
2020-09-02,50.928402
2020-09-03,48.74041
2020-09-04,49.81652
2020-09-05,83.29204
2020-09-06,60.953274
2020-09-07,55.21139
2020-09-08,54.672092
2020-09-09,55.468353
2020-09-10,65.59924
2020-09-11,58.190216
2020-09-12,53.38063
2020-09-13,48.00362
2020-09-14,51.077732
2020-09-15,53.77847
2020-09-16,50.72254
2020-09-17,54.077225
2020-09-18,45.50341
2020-09-19,43.538696
2020-09-20,42.795353
2020-09-21,45.555603
2020-09-22,39.421906
2020-09-23,33.798332
2020-09-24,41.463596
2020-09-25,45.89249
2020-09-26,50.445972
2020-09-27,46.352783
2020-09-28,48.46838
2020-09-29,29.955574
2020-09-30,30.878645
2020-10-01,34.60186
2020-10-02,39.155342
2020-10-03,39.469204
2020-10-04,37.382523
2020-10-05,38.061256
2020-10-06,39.77502
2020-10-07,38.48198
2020-10-08,30.222746
2020-10-09,35.662678
2020-10-10,37.881012
2020-10-11,45.860855
2020-10-12,50.28053
2020-10-13,53.476612
2020-10-14,54.716484
2020-10-15,54.160187
2020-10-16,68.04345
2020-10-17,46.718662
2020-10-18,47.984764
2020-10-19,49.82829
2020-10-20,53.77256
2020-10-21,44.35926
2020-10-22,41.76539
2020-10-23,44.38261
2020-10-24,46.745483
2020-10-25,47.71329
2020-10-26,49.131706
2020-10-27,44.46626
2020-10-28,48.248272
2020-10-29,27.944456
2020-10-30,34.651203
2020-10-31,37.594444
2020-11-01,41.58973
2020-11-02,41.885868
2020-11-03,41.32623
2020-11-04,40.16922
2020-11-05,42.165783
2020-11-06,42.685917
2020-11-07,43.13581
2020-11-08,44.82924
2020-11-09,51.433964
2020-11-10,52.779522
2020-11-11,51.837288
2020-11-12,45.39974
2020-11-13,51.04666
2020-11-14,45.854076
2020-11-15,55.29851
2020-11-16,55.6401
2020-11-17,51.297733
2020-11-18,45.645317
2020-11-19,52.079994
2020-11-20,43.494343
2020-11-21,65.21101
2020-11-22,49.160492
2020-11-23,43.814156
2020-11-24,43.178715
2020-11-25,55.865406
2020-11-26,52.96768
2020-11-27,50.66511
2020-11-28,52.73335
2020-11-29,59.944664
2020-11-30,45.05893
2020-12-01,36.865097
2020-12-02,41.96788
2020-12-03,29.488253
2020-12-04,34.101574
2020-12-05,47.434425
2020-12-06,42.65773
2020-12-07,33.91976
2020-12-08,29.936707
2020-12-09,37.479603
2020-12-10,40.534092
2020-12-11,47.617874
2020-12-12,48.54127
2020-12-13,50.2517
2020-12-14,23.397907
2020-12-15,36.136326
2020-12-16,21.012533
2020-12-17,40.9382
2020-12-18,49.16977
2020-12-19,47.848602
2020-12-20,31.687548
2020-12-21,56.042824
2020-12-22,46.623966
2020-12-23,48.151012
2020-12-24,16.669834
2020-12-25,27.922604
2020-12-26,40.41446
2020-12-27,44.329887
2020-12-28,52.16258
2020-12-29,44.99194
2020-12-30,45.472507
2020-12-31,49.86183
2021-01-01,55.08214
2021-01-02,40.08104
2021-01-03,45.706116
2021-01-04,45.886166
2021-01-05,46.835064
2021-01-06,44.040085
2021-01-07,20.086239
2021-01-08,30.974136
2021-01-09,52.359226
2021-01-10,53.809753
2021-01-11,59.01751
2021-01-12,51.948895
2021-01-13,56.42324
2021-01-14,43.513664
2021-01-15,26.072449
2021-01-16,40.494293
2021-01-17,49.962334
2021-01-18,44.671387
2021-01-19,49.284706
2021-01-20,87.18095
2021-01-21,65.03805
2021-01-22,65.62136
2021-01-23,60.32675
2021-01-24,64.74524
2021-01-25,51.665623
2021-01-26,46.45048
2021-01-27,33.819252
2021-01-28,25.849413
2021-01-29,44.389233
2021-01-30,48.039585
2021-01-31,40.89446
2021-02-01,27.934587
2021-02-02,47.511665
2021-02-03,47.23404
2021-02-04,48.70157
2021-02-05,52.099804
2021-02-06,49.695923
2021-02-07,34.763557
2021-02-08,43.948803
2021-02-09,52.02249
2021-02-10,48.993114
2021-02-11,49.259624
2021-02-12,67.46858
2021-02-13,54.771557
2021-02-14,63.438168
2021-02-15,44.450287
2021-02-16,60.6583
2021-02-17,47.808956
2021-02-18,52.05446
2021-02-19,50.13886
2021-02-20,42.013763
2021-02-21,43.8136
2021-02-22,45.56798
2021-02-23,42.139
2021-02-24,45.50879
2021-02-25,43.610912
2021-02-26,47.89893
2021-02-27,45.937878
2021-02-28,45.84174
2021-03-01,50.94668
2021-03-02,46.84603
2021-03-03,39.248066
2021-03-04,40.042423
2021-03-05,46.66853
2021-03-06,24.55186
2021-03-07,38.924126
2021-03-08,60.08038
2021-03-09,46.3786
2021-03-10,43.476753
2021-03-11,40.623695
2021-03-12,46.536343
2021-03-13,57.251972
2021-03-14,45.267624
2021-03-15,46.580616
2021-03-16,42.289978
2021-03-17,34.72674
2021-03-18,22.291777
2021-03-19,20.399464
2021-03-20,34.79652
2021-03-21,43.472355
2021-03-22,38.876358
2021-03-23,24.553926
2021-03-24,29.157242
2021-03-25,22.82387
2021-03-26,25.81178
2021-03-27,29.40334
2021-03-28,34.65282
2021-03-29,42.58603
2021-03-30,33.407383
2021-03-31,40.153236
2021-04-01,51.84439
2021-04-02,47.767025
2021-04-03,43.95323
2021-04-04,36.897896
2021-04-05,30.601477
2021-04-06,34.632206
2021-04-07,30.648365
2021-04-08,22.649294
2021-04-09,34.79106
2021-04-10,23.299837
2021-04-11,41.792698
2021-04-12,40.807888
2021-04-13,42.299423
2021-04-14,40.693954
2021-04-15,52.410618
2021-04-16,41.36706
2021-04-17,53.83557
2021-04-18,47.65524
2021-04-19,43.3716
2021-04-20,34.487587
2021-04-21,43.356754
2021-04-22,46.85185
2021-04-23,39.320396
2021-04-24,34.23684
2021-04-25,20.940939
2021-04-26,41.363785
2021-04-27,41.518257
2021-04-28,41.6125
2021-04-29,40.361183
2021-04-30,35.01478
2021-05-01,60.436874
2021-05-02,36.921413
2021-05-03,21.088934
2021-05-04,20.19693
2021-05-05,39.88931
2021-05-06,41.817074
2021-05-07,43.680477
2021-05-08,40.43966
2021-05-09,40.09179
2021-05-10,42.29234
2021-05-11,50.83842
2021-05-12,74.58338
2021-05-13,54.901657
2021-05-14,47.68184
2021-05-15,46.10744
2021-05-16,46.42274
2021-05-17,46.089653
2021-05-18,47.0914
2021-05-19,35.317383
2021-05-20,34.56697
2021-05-21,38.80803
2021-05-22,42.147865
2021-05-23,41.320934
2021-05-24,42.212154
2021-05-25,43.60794
2021-05-26,49.66846
2021-05-27,41.776257
2021-05-28,41.48568
2021-05-29,55.16411
2021-05-30,66.767296
2021-05-31,57.626
2021-06-01,57.51103
2021-06-02,56.361736
2021-06-03,75.4468
2021-06-04,57.08069
2021-06-05,48.219963
2021-06-06,49.289005
2021-06-07,50.79238
2021-06-08,50.149555
2021-06-09,49.170307
2021-06-10,57.517895
2021-06-11,49.319614
2021-06-12,51.899822
2021-06-13,57.0251
2021-06-14,49.592014
2021-06-15,45.710594
2021-06-16,41.550827
2021-06-17,46.367092
2021-06-18,44.9025
2021-06-19,52.00028
2021-06-20,46.40071
2021-06-21,49.71504
2021-06-22,66.22952
2021-06-23,53.160233
2021-06-24,53.55467
2021-06-25,50.679443
2021-06-26,51.660526
2021-06-27,52.50852
2021-06-28,62.89368
2021-06-29,52.855995
2021-06-30,73.64221
2021-07-01,55.706043
2021-07-02,50.917118
2021-07-03,52.093754
2021-07-04,49.92126
2021-07-05,56.18511
2021-07-06,60.16745
2021-07-07,87.301094
2021-07-08,55.365574
2021-07-09,73.93758
2021-07-10,59.69133
2021-07-11,59.195984
2021-07-12,50.773705
2021-07-13,56.158897
2021-07-14,51.79508
2021-07-15,50.73565
2021-07-16,53.51068
2021-07-17,54.015644
2021-07-18,51.309742
2021-07-19,53.302578
2021-07-20,52.965828
2021-07-21,50.931595
2021-07-22,59.68363
2021-07-23,49.483685
2021-07-24,44.266712
2021-07-25,48.898155
2021-07-26,53.51815
2021-07-27,49.278202
2021-07-28,48.83387
2021-07-29,55.996006
2021-07-30,53.703045
2021-07-31,52.397057
2021-08-01,47.667645
2021-08-02,49.957336
2021-08-03,53.361526
2021-08-04,53.554134
2021-08-05,51.601982
2021-08-06,49.002945
2021-08-07,50.21581
2021-08-08,50.55923
2021-08-09,50.247272
2021-08-10,51.77471
2021-08-11,48.26667
2021-08-12,48.745407
2021-08-13,47.96877
2021-08-14,50.13943
2021-08-15,45.325005
2021-08-16,49.978287
2021-08-17,50.14245
2021-08-18,53.812428
2021-08-19,50.941322
2021-08-20,44.91037
2021-08-21,64.45089
2021-08-22,70.08486
2021-08-23,53.97594
2021-08-24,50.453114
2021-08-25,58.337208
2021-08-26,54.584824
2021-08-27,50.109043
2021-08-28,48.249695
2021-08-29,57.786148
2021-08-30,52.42392
2021-08-31,49.8016
2021-09-01,55.325047
2021-09-02,50.268894
2021-09-03,59.847137
2021-09-04,54.76842
2021-09-05,49.11084
2021-09-06,47.31101
2021-09-07,51.643436
2021-09-08,54.862804
2021-09-09,48.26999
2021-09-10,43.10625
2021-09-11,56.000328
2021-09-12,49.041924
2021-09-13,50.79598
2021-09-14,46.762306
2021-09-15,52.20851
