Fecha,temp,dia,reconstruida_temp,ajustados_temp
2020-01-01,292.87558,1,292.35878355092643,293.878132914765
2020-01-02,294.4194,2,292.5691296751006,293.8795594455018
2020-01-03,294.31995,3,292.50930196461127,293.8824792879202
2020-01-04,291.22223,4,292.19821491965433,293.8868915922901
2020-01-05,289.93158,5,291.76318677125147,293.8927950745467
2020-01-06,290.46692,6,291.40293472322315,293.9001880166637
2020-01-07,290.53845,7,291.32468294742165,293.90906826715366
2020-01-08,292.00208,8,291.6749345979192,293.91943324169375
2020-01-09,294.85764,9,292.48588302860696,293.9312799238784
2020-01-10,295.87823,10,293.6548542112367,293.9446048660963
2020-01-11,294.2845,11,294.96406371902344,293.95940419053477
2020-01-12,293.07364,12,296.13558028961,293.9756735903072
2020-01-13,296.59567,13,296.90563701881376,293.99340833070727
2020-01-14,296.4458,14,297.09664643669714,294.01260325058644
2020-01-15,297.19247,15,296.66613764826457,294.03325276385596
2020-01-16,295.85098,16,295.71889666881026,294.0553508611126
2020-01-17,296.4065,17,294.47950515438896,294.0788911113876
2020-01-18,296.1144,18,293.23380658464686,294.1038666640179
2020-01-19,290.8069,19,292.25619634259806,294.13027025064025
2020-01-20,288.51694,20,291.7427399968129,294.15809418730606
2020-01-21,290.21262,21,291.76740769523593,294.1873303767177
2020-01-22,293.46225,22,292.2713804547264,294.21797031058503
2020-01-23,294.4819,23,293.08590268921955,294.25000507210143
2020-01-24,294.25034,24,293.98038579008386,294.28342533853885
2020-01-25,294.34167,25,294.7217649805681,294.3182213839606
2020-01-26,294.77518,26,295.1296797829562,294.3543830820522
2020-01-27,296.07736,27,295.1147300520489,294.39189990906806
2020-01-28,296.46133,28,294.69257636600213,294.43076094689417
2020-01-29,292.59723,29,293.9731572056495,294.4709548862254
2020-01-30,291.87033,30,293.13000293589084,294.51247002985696
2020-01-31,291.9617,31,292.3583178650548,294.55529429608816
2020-02-01,290.64038,32,291.83173655059977,294.59941522223875
2020-02-02,290.79135,33,291.6666998057488,294.6448199682755
2020-02-03,293.0728,34,291.90091950643887,294.6914953205492
2020-02-04,296.97833,35,292.48917862200125,294.73942769563985
2020-02-05,296.3725,36,293.3163668309764,294.78860314430983
2020-02-06,289.2997,37,294.2245899817445,294.8390073555632
2020-02-07,291.18674,38,295.04868263259664,294.89062566081077
2020-02-08,295.20322,39,295.65275971411194,294.94344303813875
2020-02-09,297.5337,40,295.9598966177738,294.99744411668036
2020-02-10,298.12863,41,295.96796873113556,295.05261318108927
2020-02-11,297.23166,42,295.74728336175525,295.1089341761127
2020-02-12,296.26257,43,295.4196796403061,295.1663907112644
2020-02-13,293.2558,44,295.1235126992378,295.22496606559383
2020-02-14,291.9042,45,294.97317802435913,295.284643192553
2020-02-15,294.77954,46,295.02421294230624,295.34540472495684
2020-02-16,296.0612,47,295.254476671067,295.4072329800376
2020-02-17,297.47342,48,295.56815599659814,295.47010996459073
2020-02-18,298.1001,49,295.8230883422297,295.53401738021165
2020-02-19,297.59518,50,295.874804412051,295.5989366286203
2020-02-20,294.2554,51,295.62494797379657,295.6648488170742
2020-02-21,288.24118,52,295.05933366219875,295.7317347638661
2020-02-22,291.81326,53,294.26296500320825,295.79957500390657
2020-02-23,295.4454,54,293.4055893993835,295.8683497943887
2020-02-24,298.05893,55,292.7001294681215,295.9380391205333
2020-02-25,298.26035,56,292.3449453620245,296.00862270141397
2020-02-26,290.49094,57,292.4665514228566,296.080079995859
2020-02-27,289.21918,58,293.0801284770234,296.15239020842955
2020-02-28,291.02545,59,294.0804563682447,296.225532295471
2020-02-29,293.06384,60,295.26702047243543,296.2994849712374
2020-03-01,296.4538,61,296.39671713542356,296.37422671408626
2020-03-02,298.9664,62,297.24906033171885,296.44973577274106
2020-03-03,301.0452,63,297.6848354606619,296.52599017262213
2020-03-04,301.90152,64,297.68108005045355,296.60296772224086
2020-03-05,295.78693,65,297.3325170708642,296.6806460196586
2020-03-06,293.83908,66,296.81981530697277,296.7590024590054
2020-03-07,294.0814,67,296.3550216315779,296.8380142370592
2020-03-08,294.76675,68,296.12104051575807,296.91765835988184
2020-03-09,297.46048,69,296.22313425548725,296.9979116495107
2020-03-10,297.6826,70,296.66590498798087,297.07875075070393
2020-03-11,298.5505,71,297.36075346368983,297.16015213773744
2020-03-12,298.2167,72,298.15927741699596,297.24209212125106
2020-03-13,299.4978,73,298.90058322052636,297.32454685514284
2020-03-14,299.87036,74,299.4573134488133,297.4074923435086
2020-03-15,299.0532,75,299.7670506697121,297.49090444762527
2020-03-16,297.84195,76,299.84163152983587,297.57475889297564
2020-03-17,299.41522,77,299.7545088836946,297.65903127631265
2020-03-18,299.83917,78,299.612949490271,297.7436970727615
2020-03-19,301.16022,79,299.5254384902993,297.8287316429564
2020-03-20,300.7764,80,299.57434599337154,297.9141102402117
2020-03-21,298.60617,81,299.8003376342274,297.99980801772284
2020-03-22,299.4539,82,300.1999343006107,298.08580003579806
2020-03-23,300.06808,83,300.73315313707025,298.17206126911583
2020-03-24,301.70285,84,301.33590349179894,298.2585666140079
2020-03-25,302.87253,85,301.93228128944526,298.34529089576483
2020-03-26,302.82224,86,302.44439314263997,298.4322088759623
2020-03-27,302.80075,87,302.80029901314913,298.51929525980626
2020-03-28,303.70898,88,302.94243147568767,298.6065247034937
2020-03-29,301.17554,89,302.8384272632389,298.6938718215887
2020-03-30,302.16306,90,302.4938211597656,298.7813111944096
2020-03-31,300.7001,91,301.96274570115276,298.8688173754272
2020-04-01,301.224,92,301.35048856045694,298.9563648986695
