Fecha,Temperature,arima_predicts
2020-01-01,292.9391,0.0
2020-01-02,294.51678,292.9392102544284
2020-01-03,294.41913,294.6630756480466
2020-01-04,291.25348,294.41007507756194
2020-01-05,289.93765,290.95993452927917
2020-01-06,290.4856,289.81563526787875
2020-01-07,290.56183,290.5364104941108
2020-01-08,292.05844,290.5688986813871
2020-01-09,294.97662,292.19721816149496
2020-01-10,296.0236,295.24721798832786
2020-01-11,294.3958,296.1206847178102
2020-01-12,293.1584,294.2448568075307
2020-01-13,296.75858,293.0436579516147
2020-01-14,296.60938,297.09241871646645
2020-01-15,297.37244,296.5955449316154
2020-01-16,296.00244,297.44319728740976
2020-01-17,296.57098,295.87540217368047
2020-01-18,296.2734,296.62369977063923
2020-01-19,290.8495,296.2458059004699
2020-01-20,288.5102,290.3465507546171
2020-01-21,290.24396,288.2932805933509
2020-01-22,293.56573,290.4047286874159
2020-01-23,294.60864,293.87375221922144
2020-01-24,294.3729,294.70534731346487
2020-01-25,294.46713,294.351040221039
2020-01-26,294.9079,294.4758677915139
2020-01-27,296.23953,294.9487718705889
2020-01-28,296.6328,296.3630098398992
2020-01-29,292.68488,296.6692672744209
2020-01-30,291.93982,292.3187959304501
2020-01-31,292.03406,291.87073182271706
2020-02-01,290.68466,292.04279871879737
2020-02-02,290.83673,290.5595323774923
2020-02-03,293.16998,290.85083119872144
2020-02-04,297.16205,293.38633840018986
2020-02-05,296.5407,297.5322280257777
2020-02-06,289.3137,296.48308324570536
2020-02-07,291.24075,288.64355228407936
2020-02-08,295.34622,291.4194421483278
2020-02-09,297.7256,295.7269134195767
2020-02-10,298.33136,297.9462359585315
2020-02-11,297.4165,298.3875311194681
2020-02-12,296.42392,297.33166655052065
2020-02-13,293.34988,296.3318797039064
2020-02-14,291.96954,293.06482937254066
2020-02-15,294.90573,291.84154336264095
2020-02-16,296.21414,295.1779980257381
2020-02-17,297.65512,296.33546668783555
2020-02-18,298.2973,297.7887396839197
2020-02-19,297.7791,298.3568482856247
2020-02-20,294.36475,297.73104817401554
2020-02-21,288.2164,294.0481429910262
2020-02-22,291.8655,287.6462737084294
2020-02-23,295.57507,292.2038749868778
2020-02-24,298.2446,295.9190522696205
2020-02-25,298.4482,298.49214108649255
2020-02-26,290.50705,298.4670794901012
2020-02-27,289.20517,289.77068033979754
2020-02-28,291.04974,289.0844488282271
2020-02-29,293.13153,291.2207839148133
2020-03-01,296.5936,293.3245709317181
2020-03-02,299.15997,296.9146320053767
2020-03-03,301.28302,299.397945230899
2020-03-04,302.1528,301.47988690304214
2020-03-05,295.90277,302.23345325589503
2020-03-06,293.91,295.3232150907796
2020-03-07,294.15628,293.7252137451425
2020-03-08,294.85223,294.17911713566855
2020-03-09,297.6028,294.91676428848695
2020-03-10,297.82846,297.85785579119687
2020-03-11,298.71408,297.84938507729
2020-03-12,298.36853,298.7962020728067
2020-03-13,299.6755,298.336487721982
2020-03-14,300.0518,299.79669315902544
2020-03-15,299.21536,300.0866936744847
2020-03-16,297.9753,299.1377983069732
2020-03-17,299.57867,297.86031129422935
2020-03-18,300.0106,299.7273478391138
2020-03-19,301.35617,300.05065215206
2020-03-20,300.9617,301.4809424729641
2020-03-21,298.73944,300.9251214515706
2020-03-22,299.60443,298.53337351830885
2020-03-23,300.22675,299.6846390871446
2020-03-24,301.89603,300.2844567007848
2020-03-25,303.08694,302.05081956402825
2020-03-26,303.03418,303.19737110784104
2020-03-27,303.0069,303.0292876527616
2020-03-28,303.93375,303.0043703708744
2020-03-29,301.34027,304.01969526228044
2020-03-30,302.34415,301.09978090379326
2020-03-31,300.84775,302.43723812633993
2020-04-01,301.3787,300.70899131145654
2020-04-02,302.7449,301.42793411232435
2020-04-03,301.77298,302.87158545862604
2020-04-04,303.0567,301.68285547141863
2020-04-05,298.59058,303.1757372251116
2020-04-06,301.0999,298.17644410446553
2020-04-07,302.02274,301.3325850790804
2020-04-08,303.2472,302.10831342163556
2020-04-09,304.89178,303.3607421436608
2020-04-10,303.7523,305.04427917402086
2020-04-11,303.77652,303.64663791070467
2020-04-12,307.7556,303.77876588040397
2020-04-13,305.1209,308.1245734846362
