Fecha,temp,dia,reconstruida_temp,ajustados_temp
2020-01-01,292.68048,1,292.170848436612,293.66644798341673
2020-01-02,294.203,2,292.3777736406174,293.66723869670824
2020-01-03,294.1035,3,292.31826307498926,293.6694752408217
2020-01-04,291.0485,4,292.0109570422318,293.673156964982
2020-01-05,289.7754,5,291.5813956589535,293.6782827979046
2020-01-06,290.30212,6,291.2255302471941,293.6848512481075
2020-01-07,290.37244,7,291.14770581123634,293.69286040434525
2020-01-08,291.81467,8,291.49239409222344,293.7023079361649
2020-01-09,294.63083,9,292.2913473722052,293.71319109458426
2020-01-10,295.6359,10,293.4433240275488,293.7255067128918
2020-01-11,294.06293,11,294.73356878477335,293.73925120756775
2020-01-12,292.86877,12,295.8880113445616,293.75442057932736
2020-01-13,296.34103,13,296.6465451495715,293.7710104142841
2020-01-14,296.19174,14,296.83404323962935,293.7890158852342
2020-01-15,296.92813,15,296.40861770518575,293.8084317530613
2020-01-16,295.60394,16,295.47359380778346,293.82925236826077
2020-01-17,296.15057,17,294.2504322089291,293.8514716725835
2020-01-18,295.8613,18,293.0210092830916,293.8750832007988
2020-01-19,290.62698,19,292.0559169288874,293.90008008257587
2020-01-20,288.36737,20,291.5485083464521,293.9264550444823
2020-01-21,290.03848,21,291.5717379308813,293.9542004121008
2020-01-22,293.24207,22,292.067613391708,293.9833081122625
2020-01-23,294.24646,23,292.869728542381,294.0137696753954
2020-01-24,294.01688,24,293.75069738381814,294.0455762379893
2020-01-25,294.10574,25,294.4806864785178,294.0787185451747
2020-01-26,294.5323,26,294.881830292031,294.11318695341566
2020-01-27,295.8153,27,294.86595822106864,294.1489714333159
2020-01-28,296.19278,28,294.44850198809684,294.1860615725371
2020-01-29,292.38077,29,293.7378652714656,294.22444657882835
2020-01-30,291.66293,30,292.9051657855787,294.2641152831669
2020-01-31,291.75183,31,292.14290020301587,294.3050561430076
2020-02-01,290.4475,32,291.6223003391895,294.34725724564174
2020-02-02,290.59543,33,291.45820197594867,294.3907063116632
2020-02-03,292.843,34,291.6878060291413,294.43539069854154
2020-02-04,296.69345,35,292.2665340340039,294.48129740430045
2020-02-05,296.095,36,293.0808803687092,294.52841307130126
2020-02-06,289.11853,37,293.975143937842,294.57672399012944
2020-02-07,290.97736,38,294.7864475999809,294.6262161035838
2020-02-08,294.93726,39,295.38078361554415,294.67687501076665
2020-02-09,297.23462,40,295.68228392211444,294.72868597127416
2020-02-10,297.82037,41,295.6888424493354,294.7816339094855
2020-02-11,296.93335,42,295.46978238986014,294.83570341894927
2020-02-12,295.97665,43,295.1452479378084,294.8908787668665
2020-02-13,293.0092,44,294.85167511363863,294.94714389866834
2020-02-14,291.675,45,294.70187734077143,295.00448244268784
2020-02-15,294.50974,46,294.75062975801717,295.0628777149232
2020-02-16,295.7715,47,294.9761083840718,295.12231272389283
2020-02-17,297.1633,48,295.2838381053557,295.1827701755791
2020-02-18,297.7789,49,295.5336349449954,295.24423247846056
2020-02-19,297.28,50,295.58303671671865,295.3066817486307
2020-02-20,293.9841,51,295.3350510361055,295.3700998150014
2020-02-21,288.05185,52,294.77568598407356,295.43446822459066
2020-02-22,291.5725,53,293.9887612276396,295.4997682478916
2020-02-23,295.15356,54,293.1416650406088,295.56598088432236
2020-02-24,297.72888,55,292.44436372780206,295.6330868677548
2020-02-25,297.92657,56,292.09246575559064,295.70106667212036
2020-02-26,290.2621,57,292.2107331340301,295.7699005170917
2020-02-27,289.0069,58,292.81414079423274,295.8395683738382
2020-02-28,290.7861,59,293.79893362026803,295.91004997085383
2020-02-29,292.79422,60,294.967383149357,295.98132479985577
2020-03-01,296.13644,61,296.07976049712624,296.0533721217514
2020-03-02,298.61224,62,296.91863761674364,296.1261709726733
2020-03-03,300.66016,63,297.3467273778348,296.1997001700789
2020-03-04,301.50397,64,297.3413797881269,296.273938318914
2020-03-05,295.4715,65,296.99599687988524,296.3488638178384
2020-03-06,293.54956,66,296.4887351741034,296.42445486551094
2020-03-07,293.78635,67,296.028696596683,296.5006894669337
2020-03-08,294.46033,68,295.79624862851364,296.5775454398514
2020-03-09,297.11594,69,295.8951974979347,296.65500042120607
2020-03-10,297.3328,70,296.33008864337125,296.73303187364417
2020-03-11,298.18658,71,297.01356029095325,296.8116170920743
2020-03-12,297.85547,72,297.7992763631768,296.8907332102737
2020-03-13,299.11792,73,298.52857983250715,296.97035720754195
2020-03-14,299.4834,74,299.0758805692785,297.05046591539906
2020-03-15,298.67532,75,299.37962347815636,297.1310360243273
2020-03-16,297.4798,76,299.4514746540375,297.2120440905531
2020-03-17,299.02948,77,299.36386109366606,297.29346654286917
2020-03-18,299.44537,78,299.22255667696237,297.37527968949263
2020-03-19,300.74628,79,299.1345409265283,297.457459724959
2020-03-20,300.36676,80,299.18104561953373,297.5399827370488
2020-03-21,298.22455,81,299.40218075653223,297.62282471374533
2020-03-22,299.0584,82,299.79452567416865,297.7059615502218
2020-03-23,299.6634,83,300.31866059843475,297.78936905585476
2020-03-24,301.27344,84,300.9113872450333,297.87302296126336
2020-03-25,302.42505,85,301.49785049399077,297.9568989253709
2020-03-26,302.37326,86,302.00122623091323,298.04097254248757
2020-03-27,302.35135,87,302.35055632582635,298.12521934941145
2020-03-28,303.2449,88,302.4890556398559,298.2096148325472
2020-03-29,300.74445,89,302.38479870254594,298.29413443503864
2020-03-30,301.71765,90,302.0432421317661,298.378753563914
2020-03-31,300.27267,91,301.5177781670168,298.46344759724207
2020-04-01,300.7874,92,300.91225544268343,298.54819189129637
