Fecha,Temperature,Dia,Reconstruida,Ajustados
2020-01-01,292.87558,1,292.3587835509266,293.87813293849825
2020-01-02,294.4194,2,292.56912967510084,293.8795594673042
2020-01-03,294.31995,3,292.5093019646113,293.88247930779164
2020-01-04,291.22223,4,292.19821491965445,293.8868916102311
2020-01-05,289.93158,5,291.76318677125147,293.8927950905582
2020-01-06,290.46692,6,291.4029347232231,293.9001880307473
2020-01-07,290.53845,7,291.32468294742165,293.90906827931144
2020-01-08,292.00208,8,291.67493459791905,293.91943325192847
2020-01-09,294.85764,9,292.48588302860696,293.9312799321932
2020-01-10,295.87823,10,293.6548542112367,293.9446048724951
2020-01-11,294.2845,11,294.9640637190235,293.95940419502176
2020-01-12,293.07364,12,296.1355802896099,293.97567359288735
2020-01-13,296.59567,13,296.9056370188137,293.993408331386
2020-01-14,296.4458,14,297.0966464366972,294.01260324936965
2020-01-15,297.19247,15,296.66613764826474,294.03325276075014
2020-01-16,295.85098,16,295.7188966688103,294.05535085612485
2020-01-17,296.4065,17,294.47950515438896,294.0788911045254
2020-01-18,296.1144,18,293.23380658464697,294.1038666552894
2020-01-19,290.8069,19,292.25619634259806,294.130270240054
2020-01-20,288.51694,20,291.7427399968128,294.15809417487117
2020-01-21,290.21262,21,291.76740769523576,294.18733036244384
2020-01-22,293.46225,22,292.2713804547262,294.2179702944823
2020-01-23,294.4819,23,293.08590268921955,294.2500050541806
2020-01-24,294.25034,24,293.98038579008386,294.283425318811
2020-01-25,294.34167,25,294.72176498056814,294.3182213624374
2020-01-26,294.77518,26,295.1296797829565,294.35438305874584
2020-01-27,296.07736,27,295.1147300520488,294.39189988399113
2020-01-28,296.46133,28,294.6925763660023,294.4307609200598
2020-01-29,292.59723,29,293.97315720564967,294.47095485764726
2020-01-30,291.87033,30,293.130002935891,294.51246999954907
2020-01-31,291.9617,31,292.3583178650547,294.5552942640651
2020-02-01,290.64038,32,291.8317365506,294.59941518851554
2020-02-02,290.79135,33,291.6666998057489,294.6448199328676
2020-02-03,293.0728,34,291.90091950643904,294.6914952834726
2020-02-04,296.97833,35,292.4891786220012,294.73942765691095
2020-02-05,296.3725,36,293.31636683097616,294.7886031039453
2020-02-06,289.2997,37,294.22458998174454,294.83900731358045
2020-02-07,291.18674,38,295.04868263259664,294.89062561722744
2020-02-08,295.20322,39,295.6527597141119,294.94344299297296
2020-02-09,297.5337,40,295.9598966177737,294.99744406995063
2020-02-10,298.12863,41,295.9679687311352,295.05261313281454
2020-02-11,297.23166,42,295.7472833617554,295.10893412631236
2020-02-12,296.26257,43,295.4196796403061,295.1663906599581
2020-02-13,293.2558,44,295.1235126992379,295.2249660128018
2020-02-14,291.9042,45,294.9731780243592,295.28464313829573
2020-02-15,294.77954,46,295.0242129423062,295.34540466925523
2020-02-16,296.0612,47,295.25447667106727,295.4072329229129
2020-02-17,297.47342,48,295.5681559965984,295.4701099060647
2020-02-18,298.1001,49,295.82308834222994,295.53401732030613
2020-02-19,297.59518,50,295.87480441205093,295.5989365673578
2020-02-20,294.2554,51,295.62494797379645,295.66484875447725
2020-02-21,288.24118,52,295.05933366219875,295.73173469995777
2020-02-22,291.81326,53,294.262965003208,295.79957493871024
2020-02-23,295.4454,54,293.4055893993833,295.868349727928
2020-02-24,298.05893,55,292.70012946812136,295.9380390528322
2020-02-25,298.26035,56,292.34494536202453,296.00862263249684
2020-02-26,290.49094,57,292.4665514228567,296.08007992575045
2020-02-27,289.21918,58,293.0801284770233,296.1523901371543
2020-02-28,291.02545,59,294.0804563682445,296.2255322230543
2020-02-29,293.06384,60,295.2670204724355,296.29948489770476
2020-03-01,296.4538,61,296.3967171354238,296.37422663946325
2020-03-02,298.9664,62,297.24906033171897,296.4497356970537
2020-03-03,301.0452,63,297.6848354606619,296.52599009589653
2020-03-04,301.90152,64,297.6810800504535,296.6029676445036
2020-03-05,295.78693,65,297.3325170708643,296.68064594093624
2020-03-06,293.83908,66,296.8198153069729,296.7590023793249
2020-03-07,294.0814,67,296.3550216315779,296.8380141564477
2020-03-08,294.76675,68,296.1210405157579,296.91765827836656
2020-03-09,297.46048,69,296.22313425548737,296.9979115671192
2020-03-10,297.6826,70,296.66590498798087,297.0787506674639
2020-03-11,298.5505,71,297.36075346368983,297.1601520536768
2020-03-12,298.2167,72,298.15927741699613,297.2420920363979
2020-03-13,299.4978,73,298.90058322052636,297.32454676952534
2020-03-14,299.87036,74,299.45731344881364,297.4074922571552
2020-03-15,299.0532,75,299.7670506697121,297.49090436056446
2020-03-16,297.84195,76,299.84163152983587,297.5747588052361
2020-03-17,299.41522,77,299.75450888369465,297.65903118792323
2020-03-18,299.83917,78,299.61294949027103,297.7436969837511
2020-03-19,301.16022,79,299.5254384902995,297.82873155335403
2020-03-20,300.7764,80,299.5743459933716,297.91411015004644
2020-03-21,298.60617,81,299.80033763422745,297.999807927024
2020-03-22,299.4539,82,300.19993430061083,298.08579994459495
2020-03-23,300.06808,83,300.73315313707013,298.1720611774379
2020-03-24,301.70285,84,301.3359034917992,298.2585665218846
2020-03-25,302.87253,85,301.93228128944537,298.34529080322557
2020-03-26,302.82224,86,302.4443931426399,298.4322087830368
2020-03-27,302.80075,87,302.80029901314936,298.519295166524
2020-03-28,303.70898,88,302.9424314756877,298.60652460988445
2020-03-29,301.17554,89,302.838427263239,298.6938717276821
2020-03-30,302.16306,90,302.49382115976573,298.7813111002354
2020-03-31,300.7001,91,301.96274570115287,298.868817281015
2020-04-01,301.224,92,301.3504885604566,298.95636480404903
2020-04-02,302.56522,93,300.8020921143843,299.0439281913342
2020-04-03,301.61633,94,300.4747332598528,299.1314819602505
2020-04-04,302.87683,95,300.49756787841153,299.2190006309769
2020-04-05,298.50787,96,300.9289747196541,299.30645873390677
2020-04-06,300.96857,97,301.7250602555954,299.3938308170598
2020-04-07,301.87595,98,302.7327534926124,299.48109145348906
2020-04-08,303.0763,99,303.7151329726173,299.5682152486808
2020-04-09,304.68994,100,304.40701222780206,299.6551768479447
2020-04-10,303.57922,101,304.58818512743693,299.7419509437924
2020-04-11,303.6082,102,304.1538093805819,299.82851228330287
2020-04-12,307.50317,103,303.1593859259114,299.91483567547107
2020-04-13,304.92935,104,301.8231291949752,300.0008959985392
2020-04-14,301.2047,105,300.4802216428873,300.0866682073076
2020-04-15,292.66843,106,299.4981834339101,300.17212734042346
2020-04-16,295.00803,107,299.1756908119292,300.2572485276449
2020-04-17,301.9494,108,299.6541458004401,300.3420069970788
2020-04-18,302.3618,109,300.869381431587,300.4263780823897
2020-04-19,305.67154,110,302.56012858336794,300.51033722997863
2020-04-20,305.61978,111,304.3332679744593,300.5938600061281
2020-04-21,304.4788,112,305.76852501521086,300.6769221041132
2020-04-22,305.8406,113,306.53268960524787,300.75949935127505
2020-04-23,305.53708,114,306.46984650931654,300.84156771605575
2020-04-24,305.64676,115,305.6408715919571,300.92310331499186
2020-04-25,303.78937,116,304.3006358345642,301.004082419665
2020-04-26,301.59933,117,302.8202507537704,301.08448146360723
2020-04-27,301.9512,118,301.5783190103318,301.1642770491594
2020-04-28,302.6668,119,300.8542485880774,301.2434459542803
2020-04-29,302.32333,120,300.7553999102179,301.3219651393046
2020-04-30,300.14304,121,301.1986747660908,301.3998117536482
2020-05-01,301.6351,122,301.9498142485091,301.47696314245763
2020-05-02,302.1181,123,302.7057828306769,301.55339685320354
2020-05-03,302.89468,124,303.19288321378,301.6290906422145
2020-05-04,303.23697,125,303.2495809000575,301.7040224811506
2020-05-05,303.63925,126,302.8692881487478,301.7781705634138
2020-05-06,301.03555,127,302.19218516709554,301.8515133104944
2020-05-07,301.34705,128,301.45179032513687,301.9240293782505
2020-05-08,301.86176,129,300.8959473259652,301.99569766311976
2020-05-09,300.93213,130,300.70879495193844,302.06649730826086
2020-05-10,301.5766,131,300.9582510552881,302.1364077096233
2020-05-11,301.12213,132,301.5837255850685,302.2054085219434
2020-05-12,302.35184,133,302.42482974214835,302.2734796646654
2020-05-13,302.7844,134,303.2785883975608,302.3406013277851
2020-05-14,303.6316,135,303.96440716352254,302.40675397761515
2020-05-15,304.28613,136,304.3751898548988,302.47191836246935
2020-05-16,304.68936,137,304.49932551422086,302.53607551826576
2020-05-17,304.27435,138,304.40915770049406,302.5992067740452
2020-05-18,304.5363,139,304.22304395729975,302.661293757405
2020-05-19,304.65604,140,304.056314517656,302.72231839984596
2020-05-20,304.5245,141,303.97884259563114,302.7822629420301
2020-05-21,303.9682,142,303.9931893052858,302.84110993894944
2020-05-22,303.08994,143,304.0391450508621,302.8988422650026
2020-05-23,303.33026,144,304.0210702319097,302.95544311897874
2020-05-24,303.78394,145,303.84703283778424,303.0108960289471
2020-05-25,303.5909,146,303.4656694843591,303.06518485705055
2020-05-26,302.99518,147,302.88859093232077,303.1182938042019
2020-05-27,302.90344,148,302.1918890733566,303.17020741468207
2020-05-28,303.336,149,301.4975587650863,303.22091058063774
2020-05-29,298.90594,150,300.9418380525669,303.27038854647805
2020-05-30,300.09476,151,300.6406777575289,303.3186269131689
2020-05-31,300.75024,152,300.6621288361461,303.36561164242306
2020-06-01,301.04248,153,301.0120778064305,303.41132906078604
2020-06-02,302.2423,154,301.63507300997713,303.4557658636148
2020-06-03,303.07846,155,302.42776461839367,303.49890911895
2020-06-04,302.8152,156,303.26001336968216,303.5407462712794
2020-06-05,303.1478,157,303.99836641123335,303.58126514519165
2020-06-06,304.055,158,304.5278045868244,303.6204539489197
2020-06-07,304.96124,159,304.76937438296346,303.65830127777224
2020-06-08,305.05167,160,304.6925333931313,303.69479611745294
2020-06-09,306.5643,161,304.3213127959496,303.72992784726557
2020-06-10,304.00046,162,303.73301464042686,303.763686243205
2020-06-11,300.01437,163,303.0479266686326,303.7960614809324
2020-06-12,302.32413,164,302.40931611865744,303.8270441386346
2020-06-13,301.8994,165,301.95513997759383,303.8566251997658
2020-06-14,301.97922,166,301.7860579031362,303.8847960556715
2020-06-15,303.4419,167,301.9372722646114,303.911548508094
