Fecha,Temperature
2020-08-21,303.50293
2020-08-22,303.00745
2020-08-23,301.30255
2020-08-24,302.0693
2020-08-25,301.12122
2020-08-26,302.93732
2020-08-27,302.66476
2020-08-28,303.33112
2020-08-29,303.28143
2020-08-30,303.8469
2020-08-31,304.45218
2020-09-01,304.96667
2020-09-02,304.00845
2020-09-03,303.45337
2020-09-04,301.4049
2020-09-05,298.1874
2020-09-06,299.45865
2020-09-07,301.28488
2020-09-08,301.22473
2020-09-09,301.80066
2020-09-10,299.1165
2020-09-11,299.1068
2020-09-12,301.95306
2020-09-13,302.80054
2020-09-14,301.86288
2020-09-15,301.39914
2020-09-16,301.79254
2020-09-17,301.05673
2020-09-18,301.40018
2020-09-19,301.1891
2020-09-20,301.04767
2020-09-21,301.43192
2020-09-22,301.94693
2020-09-23,302.54303
2020-09-24,302.78506
2020-09-25,301.86816
2020-09-26,302.10104
2020-09-27,302.79712
2020-09-28,301.8797
2020-09-29,298.8631
2020-09-30,297.0577
2020-10-01,297.69418
2020-10-02,298.2092
2020-10-03,299.86478
2020-10-04,300.39026
2020-10-05,299.59354
2020-10-06,299.69525
2020-10-07,300.8564
2020-10-08,302.2291
2020-10-09,302.67386
2020-10-10,303.08835
2020-10-11,302.27142
2020-10-12,301.66678
2020-10-13,300.37656
2020-10-14,301.568
2020-10-15,302.0825
2020-10-16,298.58246
2020-10-17,299.20883
2020-10-18,300.43018
2020-10-19,300.85474
2020-10-20,300.84598
2020-10-21,301.53293
2020-10-22,301.81586
2020-10-23,301.86707
2020-10-24,301.70694
2020-10-25,301.47528
2020-10-26,300.00287
2020-10-27,298.5209
2020-10-28,295.5955
2020-10-29,295.30328
2020-10-30,294.41666
2020-10-31,295.3962
2020-11-01,296.56708
2020-11-02,296.02353
2020-11-03,294.83417
2020-11-04,295.94397
2020-11-05,297.04514
2020-11-06,297.2483
2020-11-07,296.98633
2020-11-08,298.34982
2020-11-09,298.53278
2020-11-10,299.4615
2020-11-11,300.22916
2020-11-12,300.19928
2020-11-13,299.73642
2020-11-14,299.79828
2020-11-15,299.6978
2020-11-16,296.82336
2020-11-17,297.36862
2020-11-18,296.0083
2020-11-19,296.69482
2020-11-20,297.76572
2020-11-21,296.19202
2020-11-22,297.85825
2020-11-23,297.02115
2020-11-24,297.23398
2020-11-25,298.1333
2020-11-26,299.3143
2020-11-27,299.13452
2020-11-28,299.22574
2020-11-29,295.3615
2020-11-30,290.32828
2020-12-01,290.65158
2020-12-02,294.27493
2020-12-03,291.13724
2020-12-04,287.98083
2020-12-05,290.0396
2020-12-06,288.34537
2020-12-07,290.606
2020-12-08,291.56552
2020-12-09,292.22232
2020-12-10,293.42346
2020-12-11,295.61493
2020-12-12,296.31207
2020-12-13,298.2806
2020-12-14,291.71222
2020-12-15,293.0047
2020-12-16,292.43045
2020-12-17,290.42343
2020-12-18,293.95505
2020-12-19,296.25656
2020-12-20,294.85492
2020-12-21,294.3715
2020-12-22,296.03735
2020-12-23,297.27936
2020-12-24,290.18585
2020-12-25,288.36044
2020-12-26,289.52228
2020-12-27,292.77136
2020-12-28,293.97302
2020-12-29,293.9639
2020-12-30,295.2257
2020-12-31,294.08643
2021-01-01,290.4539
2021-01-02,288.50647
2021-01-03,291.6359
2021-01-04,294.5016
2021-01-05,294.11908
2021-01-06,296.67245
2021-01-07,292.51617
2021-01-08,291.7801
2021-01-09,290.80133
2021-01-10,292.46768
2021-01-11,284.1235
2021-01-12,285.03165
2021-01-13,288.99768
2021-01-14,291.77396
2021-01-15,291.3098
2021-01-16,289.46384
2021-01-17,292.8446
2021-01-18,294.59076
2021-01-19,295.84195
2021-01-20,293.90515
2021-01-21,295.9439
2021-01-22,296.25726
2021-01-23,297.20627
2021-01-24,296.63165
2021-01-25,299.629
2021-01-26,298.03436
2021-01-27,294.90686
2021-01-28,293.17188
2021-01-29,294.57495
2021-01-30,296.9357
2021-01-31,297.4105
2021-02-01,293.41522
2021-02-02,292.0627
2021-02-03,293.315
2021-02-04,295.68674
2021-02-05,296.91736
2021-02-06,298.01776
2021-02-07,295.88882
2021-02-08,296.69656
2021-02-09,298.10886
2021-02-10,298.63315
2021-02-11,297.11053
2021-02-12,288.17014
2021-02-13,287.7263
2021-02-14,288.48358
2021-02-15,282.08594
2021-02-16,285.5773
2021-02-17,290.4102
2021-02-18,286.87964
2021-02-19,284.35666
2021-02-20,287.52515
2021-02-21,292.23694
2021-02-22,295.06238
2021-02-23,296.22238
2021-02-24,297.0701
2021-02-25,298.4218
2021-02-26,299.2998
2021-02-27,299.703
2021-02-28,300.51038
2021-03-01,298.73462
2021-03-02,291.42883
2021-03-03,294.4964
2021-03-04,296.37335
2021-03-05,298.1782
2021-03-06,295.84744
2021-03-07,294.21243
2021-03-08,294.26303
2021-03-09,296.70407
2021-03-10,297.75308
2021-03-11,298.6008
2021-03-12,299.55954
2021-03-13,299.09457
2021-03-14,301.1728
2021-03-15,300.8693
2021-03-16,302.13074
2021-03-17,302.14044
2021-03-18,297.81088
2021-03-19,295.9443
2021-03-20,295.05554
2021-03-21,295.79175
2021-03-22,298.4548
2021-03-23,301.56277
2021-03-24,303.0851
2021-03-25,300.936
2021-03-26,299.64365
2021-03-27,300.70325
2021-03-28,297.7152
2021-03-29,295.53583
2021-03-30,298.84467
2021-03-31,301.10358
2021-04-01,293.35434
2021-04-02,292.68756
2021-04-03,295.74414
2021-04-04,296.60144
2021-04-05,298.2353
2021-04-06,299.7187
2021-04-07,302.44177
2021-04-08,303.11703
2021-04-09,304.94296
2021-04-10,305.7898
2021-04-11,303.01416
2021-04-12,302.59915
2021-04-13,303.4166
2021-04-14,303.32498
2021-04-15,303.12186
2021-04-16,304.9887
2021-04-17,297.6618
2021-04-18,292.61584
2021-04-19,295.87372
2021-04-20,299.22385
2021-04-21,298.70792
2021-04-22,299.73633
2021-04-23,303.23727
2021-04-24,303.7612
2021-04-25,302.75085
2021-04-26,302.5886
