parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,rendimiento,pred
10,0.787244155581115,0.626589823922068,0.680776520355313,0.553228990565275,2.63963866306602,1.69318787373252,0.489180830905107,0.36142176234548,0.57902005841994,0.429141021777481,0.164576577718281,0.76633408210914,65,59.84299842530493
11,0.801863587481576,0.633393448164245,0.692490102023754,0.55887655714744,3.11890662238984,1.87161343165624,0.516821860261635,0.374580529276025,0.608580675003139,0.445967128767163,0.188034850693736,0.734391684062046,40,57.33783133114406
13,0.722282728379346,0.550560708591582,0.622915767504597,0.489513878994165,2.01988683670945,1.17883872472642,0.42672360617355,0.293286724615115,0.510942023410322,0.355527541249389,0.0944416648700836,0.863536360334166,40,45.75618727892345
15,0.771430223981967,0.59359001306433,0.660662190046359,0.52444682894862,2.30513718175188,1.4239043287564,0.458972623102582,0.329909675542331,0.548176836123903,0.398629104046308,0.149474386992117,0.779084499092872,45,54.511277867660056
2,0.74495766590935,0.565799003704824,0.635269172020955,0.509663679068351,2.18131713244051,1.29641593707206,0.447810059093962,0.309752696447505,0.532161437052205,0.374137338204912,0.107879983421487,0.854987167331032,50,52.550251709292354
3,0.761786824668946,0.546875796658076,0.659093598088465,0.504053421877381,2.67960618239105,1.31080499249077,0.485679817049917,0.298150120783635,0.55871142929033,0.36473977858404,0.087252008723695,0.884698990909342,65,55.86835202748472
4,0.747664802699206,0.526161248316405,0.652928540214334,0.493976877599267,2.3825107366127,1.17370505834906,0.462233876452017,0.281808957962261,0.549697051519818,0.349965282608761,0.0632347911408064,0.928516146529966,65,53.3277964103184
5,0.821659938180422,0.578178487219103,0.719512212126287,0.53473456899168,3.44228009130369,1.58610064945753,0.542076783976398,0.32874030179303,0.639174312658148,0.401286925124168,0.118301554536793,0.836792029320817,65,59.931350106385366
7,0.79557420160825,0.617933211737733,0.691095092181727,0.552410038382882,2.87339391228452,1.68719820902188,0.505503856732369,0.356343103441835,0.600029049615598,0.428267242984049,0.156636854042516,0.78253093800754,65,60.46413429916413
8,0.828513435878699,0.602840939293264,0.725044910630077,0.545237087258358,3.59002957338592,1.81261426923616,0.549828891532011,0.353771474092851,0.649031948312824,0.427532752858144,0.157416816764286,0.778641226345706,65,58.66021860586284
9,0.746166528685083,0.511709385713281,0.662518083740672,0.480103562379264,2.51458102014512,1.31458578523549,0.467512987110492,0.283558869467514,0.566001097211386,0.355953676400134,0.0775986343568926,0.97124674495774,65,51.12117099711165
