Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,dia,msi_mean_pred_1,msi_mean_pred_2,msi_mean_pred_3,msi_mean_pred_4,msi_mean_pred_5,msi_mean_pred_6
112,2022-03-17,4,0.2042827519154476,0.1839112343966712,0.2278260869565217,-0.1083323120261643,-0.1384364820846905,0.0014903129657228,1.2435259345262102,0.9970238095238096,1.3213610586011342,0.3873319698596902,0.3532022828154724,0.4063694267515924,0.3387260865941808,0.3077561177934467,0.3886855899515379,-0.3873319698596902,-0.4063694267515924,-0.3532022828154724,0,1.6680567307758882,1.927558342623799,1.9088821295907212,1.815906376394524,1.607606044177054,0.01503632868139176
99,2022-03-22,4,0.2071025528373481,0.1859350026638252,0.2341628959276018,-0.0713097636776449,-0.1031503529659677,0.0444260158748963,1.154315410194492,0.9149274047186932,1.2300281954887218,0.3959025082393497,0.3652924256951103,0.4132257063023906,0.330936783855671,0.3027545702704938,0.3908241291418862,-0.3959025082393497,-0.4132257063023906,-0.3652924256951103,5,1.64550576057969,1.874393937460117,1.8600890519959932,1.80246760727697,1.7085582959222296,0.7858057534030523
111,2022-03-27,4,0.0162148564210721,-0.0687960687960688,0.1907983761840324,-0.4185899491930849,-0.609271523178808,-0.2649572649572649,2.4570841678555704,1.7209302325581397,4.11864406779661,0.1453495263087692,0.0554838709677419,0.3685847589424572,0.0883462698065407,-0.6521739130434783,1.8032786885245904,-0.1453495263087692,-0.3685847589424572,-0.0554838709677419,10,1.6229547903834918,1.8222471616467133,1.8119285406144048,1.7840976890608542,1.7773913382113269,1.3483635413725417
107,2022-04-01,4,0.0758745724754594,-0.2057971014492753,0.2473118279569892,-0.4445174107275096,-0.622093023255814,-0.2525773195876288,2.6347061046603857,1.6758620689655173,4.292307692307692,0.1705245168043477,-0.1477272727272727,0.2742718446601941,0.2195757514176066,-3.6,1.4853556485355648,-0.1705245168043477,-0.2742718446601941,0.1477272727272727,15,1.6004038201872934,1.771118015183588,1.7644135076493708,1.7612497213097582,1.81816733884162,1.7375144707366312
109,2022-04-06,4,0.1149868919901578,0.0892561983471074,0.1447282252783235,-0.165095771663805,-0.2298784018529241,-0.1101173840134153,1.3966777884167747,1.2474874371859297,1.5969924812030074,0.0771797088086991,0.0488390712570056,0.1492439184746877,-0.5654970926412137,-5.261904761904762,-0.3618248557944415,-0.0771797088086991,-0.1492439184746877,-0.0488390712570056,20,1.577852849991095,1.7210064980707414,1.7175568653043063,1.734362031261619,1.8346660769594785,1.9842489309375069
108,2022-04-11,4,0.2101788457868144,0.1609322974472808,0.2563347083087802,-0.3537721877795453,-0.419502430654847,-0.2589686098654709,2.0986616810157983,1.6989409984871406,2.445320197044335,0.2899364716049066,0.2531328320802005,0.3286219081272085,0.601754005951205,0.3683943089430894,0.8895446880269814,-0.2899364716049066,-0.3286219081272085,-0.2531328320802005,25,1.5553018797948968,1.6719126103081734,1.6713715257826263,1.703858173828731,1.830393788404825,2.1159975360626575
106,2022-04-16,4,0.2271847816998671,0.1694094869312681,0.2830188679245283,-0.3082949904009631,-0.3798994974874372,-0.2476926914442504,1.894708249037568,1.6584880636604775,2.2252836304700163,0.2713807990856412,0.2358393408856848,0.3104799216454456,1.2497592749548565,0.6007067137809187,2.568493150684932,-0.2713807990856412,-0.3104799216454456,-0.2358393408856848,30,1.5327509095986986,1.6238363518958834,1.6258704012877456,1.6701469315977435,1.808592011055595,2.156877778890068
130,2022-05-01,4,0.2612017359852794,0.1550032701111837,0.32574679943101,-0.178400340713321,-0.2567414457285293,-0.0354815351194786,1.43996091419695,1.0735735735735736,1.6908536585365854,0.2434389461929102,0.1940500338066261,0.2818532818532818,3.848389581404737,-261.875,318.75,-0.2434389461929102,-0.2818532818532818,-0.1940500338066261,45,1.4650979990101036,1.4857133527606852,1.4936014399980502,1.5536351370980293,1.6666404078236412,1.9307433161400636
127,2022-05-11,4,0.2884360788958728,0.1873455264458724,0.3705275924802911,-0.1439981985370717,-0.2430886558627264,0.0283388132143416,1.3443810617598544,0.944884287454324,1.6423173803526447,0.290170959218566,0.2215384615384615,0.3619233268356075,4.8906293873778734,-507.5,2770.0,-0.290170959218566,-0.3619233268356075,-0.2215384615384615,55,1.4199960586177072,1.3987195000886117,1.4090799313348579,1.4667532762090036,1.5326802741812975,1.6398542698290353
131,2022-05-16,4,0.3261348772624604,0.2223618090452261,0.4315151515151515,-0.1506195994614443,-0.2419847328244274,-0.0662801932367149,1.358846699683761,1.1419701986754969,1.6384692849949647,0.3383992302181922,0.2742671009771987,0.4084675014907573,1.293854065640356,0.7599684168969602,1.833946400420389,-0.3383992302181922,-0.4084675014907573,-0.2742671009771987,60,1.397445088421509,1.3567490177779928,1.3679552532724881,1.4215549092730193,1.4600652870318207,1.4855295587815687
