Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,dia,ndvi_mean_pred,ndmi_mean_pred,msi_mean_pred
110,2022-05-11,16,0.1579966060463682,0.1339155749636099,0.189873417721519,-0.2737299702816193,-0.3138719167232405,-0.1816733067729083,1.7557723610557143,1.4440116845180135,1.91490765171504,0.2212192926004507,0.1875,0.2613569321533923,0.6663437462707688,0.4517133956386293,1.0523786641037962,-0.2212192926004507,-0.2613569321533923,-0.1875,0.1877554789666861,0.1134485349361382,0.4624759461193073,0.0467681377504373,0.0250453720508166,0.1473885698660104,1,0.01988464399908557,-0.017247123396580303,0.13563108524668857
111,2022-05-16,16,0.1637210175319098,0.1396468699839486,0.2039215686274509,-0.2653816718718481,-0.3110140708393983,-0.142652842331069,1.725273794730206,1.3327773144286903,1.9028169014084504,0.2543700092063308,0.2188841201716738,0.2995839112343966,0.5291399160620024,0.41350531107739,0.723965763195435,-0.2543700092063308,-0.2995839112343966,-0.2188841201716738,0.1772617740380699,0.122511485451761,0.5279383429672446,0.0361740039050294,0.0165448249326664,0.1540342298288508,6,0.10326644443653844,-0.08354072397025408,0.6663125462313664
112,2022-05-21,16,0.1760232339331801,0.1198347107438016,0.2205350686912509,-0.2331625013118289,-0.3275717870086423,-0.124551512045105,1.614587998655967,1.284543325526932,1.9742951907131008,0.238136552322664,0.1474530831099195,0.2909535452322738,0.691801874620819,0.4483738553836438,1.678082191780822,-0.238136552322664,-0.2909535452322738,-0.1474530831099195,0.2116375086803513,0.1508165225744475,0.4371584699453552,0.0546893701560591,0.029891304347826,0.1347517730496454,11,0.1741594965886205,-0.13069776859391913,1.0596632883641175
113,2022-05-26,16,0.2154722242828377,0.1763740771123872,0.2553916004540295,-0.2195878890535625,-0.2856031128404669,-0.1267272009474931,1.5649713822646274,1.290235081374322,1.7995642701525054,0.2545617731455729,0.1905564924114671,0.2998137802607076,1.2622557274145438,0.7360197368421052,2.7441077441077444,-0.2545617731455729,-0.2998137802607076,-0.1905564924114671,0.3050862921143249,0.2407559572719801,0.6012145748987854,0.0784508218057814,0.0537983238713165,0.1730824066153407,16,0.2340448899059297,-0.16196108020807232,1.3384806682371901
114,2022-05-31,16,0.2301208306365049,0.1631291691934505,0.3348314606741573,-0.2106339848418746,-0.3100841779762927,-0.1020408163265306,1.5397297609813247,1.2272727272727273,1.8989043824701195,0.2814085283359412,0.2131562302340291,0.3474387527839643,0.8395400653121726,0.4990076552310746,1.5226666666666666,-0.2814085283359412,-0.3474387527839643,-0.2131562302340291,0.2934366637252774,0.1930309734513273,0.6677696889477167,0.0904080321883925,0.0508205399682371,0.2142485699427977,21,0.2842849721894156,-0.18021044384175983,1.5230572183290416
115,2022-06-05,16,0.2917917250207955,0.1882845188284518,0.5049180327868853,-0.192943955367196,-0.2869651412522716,-0.0435865504358655,1.4892923533713522,1.0911458333333333,1.804911955514365,0.3360042769430575,0.2554927809165097,0.4578059071729958,0.9494453608103924,0.5285441136301557,1.9063338147307607,-0.3360042769430575,-0.4578059071729958,-0.2554927809165097,0.4292021012056966,0.1986935220468155,0.9276859504132232,0.1239290555982834,0.0464940939934656,0.2610687022900763,26,0.32612886731004814,-0.18798759365293494,1.6313490970967122
116,2022-06-10,16,0.3500816241489198,0.2033814022874192,0.581115017579106,-0.1409199602498862,-0.2612050566409457,0.0338259441707717,1.3437698522738335,0.934561626429479,1.707111111111111,0.3757506534284542,0.2672782874617737,0.5177478580171359,1.0268640942106626,0.5396435156730178,1.8362164735756228,-0.3757506534284542,-0.5177478580171359,-0.2672782874617737,0.5568917013788354,0.2374934175882044,1.1047619047619048,0.1711242159690461,0.0682041216879293,0.3173902948688182,31,0.36071788557612783,-0.18752039119173897,1.6791392173264406
117,2022-06-20,16,0.4823919260057195,0.3397745571658615,0.6224772457459438,0.0361873095344314,-0.1014492753623188,0.1890951276102088,0.9408977832633176,0.6819512195121952,1.2258064516129032,0.416321262334464,0.3404940923737916,0.4996342355523043,2.394742376223564,1.331421548545678,3.830385852090032,-0.416321262334464,-0.4996342355523043,-0.3404940923737916,0.9741912841143712,0.609505459216442,1.4390088945362134,0.2767835817038948,0.1841760544930573,0.3644256006460731,41,0.41218917570184976,-0.1693344207538961,1.646421122874323
120,2022-07-10,16,0.5335239787737351,0.4047730463266261,0.6340023612750886,0.0460686532351745,-0.0622320768662232,0.1857273559011893,0.9184064996221228,0.6867283950617284,1.1327238335435057,0.4906873440562704,0.4120413922859831,0.5600086188321483,1.446618245299072,1.1566507417651497,1.8744764032393184,-0.4906873440562704,-0.5600086188321483,-0.4120413922859831,0.8460253139778416,0.6597145993413831,1.2063694267515923,0.2481945838513674,0.2115967113803548,0.3343841477144787,61,0.4675422653687215,-0.10251734426618947,1.3440068705755923
124,2022-07-30,16,0.5090304472428998,0.3873417721518987,0.6156316916488223,-0.024371900262905,-0.1143434343434343,0.0869331421401684,1.052310915874341,0.8400395778364116,1.2582116788321167,0.4627412881209601,0.4164408310749774,0.5270625328428796,1.4012381611527336,0.8212560386473431,1.976284584980237,-0.4627412881209601,-0.5270625328428796,-0.4164408310749774,0.823621293377751,0.6020408163265305,1.2496,0.2452013340403195,0.1860531580451557,0.3323353293413174,81,0.49188566856149607,-0.03947657186899545,1.047761498784384
